   BENCHMARK INFORMATION
benchmark definition:    /mnt/a/master/master/sv-comp_tools/bubaak.xml
name:                    bubaak
run sets:                valid-memsafety.valid-memsafety, no-overflow.no-overflow
date:                    Sat, 2025-04-05 10:40:30 EEST
tool:                    Bubaak 0.9.2-0d2926
tool executable:         /usr/svcomp/tools/bubaak/bubaak
options:                 --sv-comp -timeout 120 -sv-comp-witness witness.graphml
parallel runs:           16
resource limits:
- memory:                4000.0 MB
- time:                  120 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                4000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    raltvein
os:                      Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.35
cpu:                     AMD Ryzen 9 7900X 12-Core Processor
- cores:                 16
- max frequency:         4691.095 MHz
ram:                     8330.235904 MB
------------------------------------------------------------



valid-memsafety.valid-memsafety
Run set 1 of 2 with options '--sv-comp -timeout 120 -sv-comp-witness witness.graphml' and propertyfile 'None'

inputfile                       status                       cpu time   wall time        host
---------------------------------------------------------------------------------------------
MicroHttpServer.yml             false(valid-deref)               7.10        8.11        None
MojoJson.yml                    false(valid-free)                1.65        2.10        None
NTSC-CRT.yml                    unknown                          0.89        1.25        None
NanoNNG.yml                     unknown                         43.64       48.29        None
NanoNNGFixed.yml                unknown                         44.03       48.66        None
admesh.yml                      false(valid-deref)               0.33        0.56        None
admeshFixed.yml                 true                             0.34        0.56        None
asterisk.yml                    false(valid-deref)               9.54       10.67        None
bzip3.yml                       unknown                         43.76       48.35        None
bzip3Fixed.yml                  unknown                         43.95       48.50        None
cups.yml                        false(valid-deref)               1.53        1.84        None
dlt-daemon.yml                  false(valid-memtrack)            3.49        4.03        None
editorconfig-core-c.yml         unknown                         43.57       48.09        None
editorconfig-core-cFixed.yml    unknown                         43.59       48.07        None
flatcc.yml                      false(valid-deref)               0.27        0.40        None
frr.yml                         unknown                         38.44       42.43        None
frrFixed.yml                    unknown                         43.26       47.68        None
gpac_1.yml                      false(valid-deref)              37.05       40.87        None
gpac_10.yml                     false(valid-deref)               0.56        0.68        None
gpac_11.yml                     false(valid-deref)               2.61        2.96        None
gpac_12.yml                     false(valid-deref)               2.30        2.59        None
gpac_13.yml                     false(valid-deref)               2.09        2.40        None
gpac_14.yml                     false(valid-deref)               3.74        4.22        None
gpac_16.yml                     unknown                         29.60       32.63        None
gpac_16Fixed.yml                unknown                         40.07       44.14        None
gpac_17.yml                     false(valid-deref)              28.02       30.92        None
gpac_18.yml                     false(valid-deref)               0.68        0.79        None
gpac_19.yml                     false(valid-deref)              19.19       21.19        None
gpac_1Fixed.yml                 unknown                         37.81       41.71        None
gpac_3.yml                      unknown                         53.78       59.41        None
gpac_5.yml                      false(valid-deref)               0.37        0.45        None
gpac_5Fixed.yml                 unknown                         35.08       38.67        None
gpac_6.yml                      false(valid-deref)              11.92       13.22        None
gpac_7.yml                      unknown                          0.88        1.04        None
gpac_8.yml                      unknown                         35.67       39.95        None
gpac_9.yml                      false(valid-deref)               0.25        0.33        None
gps-sdr-sim.yml                 false(valid-memtrack)            2.95        3.30        None
gss-ntlmssp.yml                 false(valid-deref)              13.85       15.37        None
gss-ntlmsspFixed.yml            unknown                         34.93       38.50        None
hyperkit_1.yml                  false(valid-deref)               0.33        0.49        None
hyperkit_1Fixed.yml             true                             0.36        0.44        None
jhead.yml                       unknown                         30.30       33.37        None
jhead_1.yml                     OUT OF MEMORY (ERROR (ret None))       25.65       28.02        None
jq.yml                          false(valid-deref)               7.76        8.60        None
json-c.yml                      unknown                          0.81        0.95        None
json-parser.yml                 false(valid-deref)               2.78        3.11        None
json-parserFixed.yml            unknown                         34.98       38.54        None
kilo.yml                        false(valid-deref)               1.86        2.12        None
krb5.yml                        false(valid-free)                3.00        3.36        None
krb5Fixed.yml                   unknown                         44.32       48.81        None
libeconf.yml                    true                             0.25        0.31        None
liblouis.yml                    unknown                         39.05       42.99        None
libming_1.yml                   false(valid-memtrack)            4.55        5.07        None
libpe.yml                       false(valid-deref)               1.24        1.46        None
libredwg.yml                    false(valid-deref)              10.51       11.68        None
libredwg_1.yml                  false(valid-deref)               5.07        5.64        None
libredwg_1Fixed.yml             unknown                         37.18       40.98        None
memcached.yml                   unknown                         49.24       54.77        None
minizip-ng.yml                  false(valid-deref)              10.31       11.43        None
minizip-ngFixed.yml             unknown                         41.19       45.36        None
minizip-ng_1.yml                false(valid-deref)               1.25        1.45        None
minizip-ng_1Fixed.yml           unknown                         40.99       45.19        None
mongoose.yml                    false(valid-deref)               0.56        0.70        None
mongooseFixed.yml               unknown                         41.30       45.51        None
mongoose_1.yml                  unknown                          0.80        0.96        None
moonlight-common-c.yml          unknown                         41.68       45.89        None
nanopb.yml                      false(valid-deref)               2.14        2.42        None
netatalk.yml                    unknown                         41.18       45.36        None
netatalkFixed.yml               unknown                         41.48       45.68        None
netconsd.yml                    false(valid-deref)              21.96       24.45        None
openNDS_1.yml                   unknown                         47.82       52.64        None
openNDS_1Fixed.yml              unknown                         47.98       52.83        None
openSC.yml                      unknown                         43.55       48.05        None
openSCFixed.yml                 unknown                         46.11       50.99        None
openrazer.yml                   unknown                         34.86       38.43        None
openrazerFixed.yml              unknown                         35.51       39.13        None
pacparser.yml                   unknown                         35.05       38.65        None
pacparserFixed.yml              unknown                         34.46       38.12        None
picotcp.yml                     unknown                         34.76       38.32        None
picotcpFixed.yml                unknown                         34.77       38.39        None
pjproject.yml                   false(valid-deref)               1.16        1.38        None
