   BENCHMARK INFORMATION
benchmark definition:    /mnt/a/master/master/sv-comp_tools/bubaak.xml
name:                    bubaak
run sets:                valid-memsafety.valid-memsafety, no-overflow.no-overflow
date:                    Tue, 2025-04-15 06:31:05 EEST
tool:                    Bubaak 0.9.2-0d2926
tool executable:         /usr/svcomp/tools/bubaak/bubaak
options:                 --sv-comp -timeout 120 -sv-comp-witness witness.graphml
parallel runs:           16
resource limits:
- memory:                4000.0 MB
- time:                  120 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                4000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    raltvein
os:                      Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.35
cpu:                     AMD Ryzen 9 7900X 12-Core Processor
- cores:                 16
- max frequency:         4691.105 MHz
ram:                     8330.231808 MB
------------------------------------------------------------



valid-memsafety.valid-memsafety
Run set 1 of 2 with options '--sv-comp -timeout 120 -sv-comp-witness witness.graphml' and propertyfile 'None'

inputfile                       status                       cpu time   wall time        host
---------------------------------------------------------------------------------------------
MicroHttpServer.yml             false(valid-deref)               6.14        7.11        None
MojoJson.yml                    false(valid-deref)               1.65        2.06        None
NTSC-CRT.yml                    unknown                          0.75        1.06        None
NanoNNG.yml                     unknown                         41.09       45.46        None
NanoNNGFixed.yml                unknown                         41.62       45.95        None
admesh.yml                      false(valid-deref)               0.29        0.51        None
admeshFixed.yml                 true                             0.28        0.49        None
asterisk.yml                    false(valid-deref)               8.18        9.17        None
bzip3.yml                       unknown                         41.14       45.42        None
bzip3Fixed.yml                  unknown                         39.52       43.62        None
cups.yml                        false(valid-deref)               1.24        1.54        None
dlt-daemon.yml                  false(valid-deref)               3.47        3.98        None
editorconfig-core-c.yml         unknown                         41.11       45.35        None
editorconfig-core-cFixed.yml    unknown                         34.55       38.09        None
flatcc.yml                      false(valid-deref)               0.23        0.36        None
frr.yml                         unknown                         40.86       45.07        None
frrFixed.yml                    unknown                         33.99       37.45        None
gpac_1.yml                      false(valid-deref)              31.88       35.15        None
gpac_10.yml                     false(valid-deref)               0.60        0.71        None
gpac_11.yml                     false(valid-deref)               2.18        2.48        None
gpac_12.yml                     false(valid-deref)               1.94        2.18        None
gpac_13.yml                     false(valid-deref)               2.00        2.30        None
gpac_14.yml                     false(valid-deref)               2.91        3.27        None
gpac_16.yml                     unknown                         41.78       46.06        None
