   BENCHMARK INFORMATION
benchmark definition:    /mnt/a/master/master/sv-comp_tools/bubaak.xml
name:                    bubaak
run sets:                valid-memsafety.valid-memsafety, no-overflow.no-overflow
date:                    Fri, 2025-04-18 20:01:53 EEST
tool:                    Bubaak 0.9.2-0d2926
tool executable:         /usr/svcomp/tools/bubaak/bubaak
options:                 --sv-comp -timeout 120 -sv-comp-witness witness.graphml
parallel runs:           16
resource limits:
- memory:                4000.0 MB
- time:                  120 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                4000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    raltvein
os:                      Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.35
cpu:                     AMD Ryzen 9 7900X 12-Core Processor
- cores:                 16
- max frequency:         4691.104 MHz
ram:                     8330.235904 MB
------------------------------------------------------------



valid-memsafety.valid-memsafety
Run set 1 of 2 with options '--sv-comp -timeout 120 -sv-comp-witness witness.graphml' and propertyfile 'None'

inputfile                       status                       cpu time   wall time        host
---------------------------------------------------------------------------------------------
MicroHttpServer.yml             false(valid-deref)               7.42        8.44        None
MojoJson.yml                    false(valid-deref)               2.46        2.96        None
NTSC-CRT.yml                    unknown                          0.90        1.26        None
NanoNNG.yml                     unknown                         41.39       45.76        None
NanoNNGFixed.yml                unknown                         34.18       37.83        None
admesh.yml                      false(valid-deref)               0.30        0.54        None
admeshFixed.yml                 true                             0.33        0.53        None
asterisk.yml                    false(valid-deref)              10.41       11.65        None
bzip3.yml                       unknown                         41.33       45.67        None
bzip3Fixed.yml                  unknown                         34.16       37.74        None
cups.yml                        false(valid-deref)               1.51        1.84        None
dlt-daemon.yml                  false(valid-deref)               3.39        3.91        None
editorconfig-core-c.yml         unknown                         34.16       37.73        None
editorconfig-core-cFixed.yml    unknown                         41.33       45.60        None
flatcc.yml                      false(valid-deref)               0.24        0.37        None
frr.yml                         unknown                         40.96       45.20        None
frrFixed.yml                    unknown                         33.68       37.14        None
gpac_1.yml                      unknown                         33.63       37.09        None
gpac_10.yml                     false(valid-deref)               0.58        0.73        None
gpac_11.yml                     false(valid-deref)               2.82        3.21        None
gpac_12.yml                     false(valid-deref)               2.32        2.65        None
gpac_13.yml                     false(valid-deref)               2.42        2.73        None
gpac_14.yml                     false(valid-deref)               3.76        4.19        None
gpac_16.yml                     unknown                         41.23       45.41        None
gpac_16Fixed.yml                unknown                         41.25       45.44        None
gpac_16Found.yml                unknown                         41.25       45.45        None
gpac_17.yml                     false(valid-deref)              31.91       35.22        None
gpac_18.yml                     false(valid-deref)               0.64        0.76        None
gpac_19.yml                     false(valid-deref)              23.41       25.85        None
gpac_1Fixed.yml                 unknown                         40.98       45.24        None
gpac_3.yml                      unknown                         41.32       45.52        None
gpac_5.yml                      false(valid-deref)               0.47        0.61        None
gpac_5Fixed.yml                 unknown                         36.83       40.66        None
gpac_6.yml                      false(valid-deref)              13.09       14.46        None
gpac_7.yml                      unknown                          1.04        1.21        None
gpac_8.yml                      unknown                         41.50       45.70        None
gpac_9.yml                      false(valid-deref)               0.32        0.41        None
gps-sdr-sim.yml                 false(valid-free)               12.00       13.28        None
gss-ntlmssp.yml                 false(valid-deref)               9.35       10.38        None
gss-ntlmsspFixed.yml            unknown                         33.10       36.50        None
hyperkit_1.yml                  false(valid-deref)               0.35        0.47        None
hyperkit_1Fixed.yml             true                             0.38        0.46        None
jhead.yml                       unknown                         30.71       33.84        None
jhead_1.yml                     unknown                         41.47       45.61        None
jq.yml                          false(valid-deref)               8.97        9.95        None
json-c.yml                      unknown                          0.80        0.93        None
json-parser.yml                 false(valid-deref)               2.96        3.32        None
json-parserFixed.yml            unknown                         41.01       45.17        None
krb5.yml                        false(valid-free)                3.52        3.95        None
krb5Fixed.yml                   unknown                         41.18       45.35        None
libeconf.yml                    true                             0.24        0.31        None
liblouis.yml                    unknown                         33.21       36.60        None
libming_1.yml                   unknown                         38.16       42.13        None
libpe.yml                       false(valid-deref)               1.36        1.58        None
libredwg.yml                    false(valid-deref)              10.36       11.45        None
libredwg_1.yml                  false(valid-deref)               3.85        4.31        None
libredwg_1Fixed.yml             unknown                         31.20       34.39        None
memcached.yml                   unknown                         41.23       45.44        None
minizip-ng.yml                  false(valid-deref)              11.01       12.18        None
minizip-ngFixed.yml             unknown                         41.14       45.33        None
minizip-ng_1.yml                false(valid-deref)               1.61        1.85        None
minizip-ng_1Fixed.yml           unknown                         36.37       40.09        None
mongoose.yml                    false(valid-deref)               0.58        0.69        None
mongooseFixed.yml               unknown                         41.48       45.70        None
mongoose_1.yml                  unknown                          0.72        0.86        None
moonlight-common-c.yml          unknown                         40.82       44.97        None
nanopb.yml                      false(valid-deref)               2.01        2.30        None
netatalk.yml                    unknown                         41.07       45.32        None
netatalkFixed.yml               unknown                         41.15       45.32        None
netconsd.yml                    false(valid-deref)              14.47       16.00        None
openNDS_1.yml                   unknown                         41.47       45.68        None
openNDS_1Fixed.yml              unknown                         41.46       45.66        None
openSC.yml                      unknown                         41.06       45.24        None
openSCFixed.yml                 unknown                         34.82       38.36        None
openrazer.yml                   unknown                         41.47       45.68        None
openrazerFixed.yml              unknown                         40.16       44.24        None
openrazerFound.yml              false(valid-deref)               4.01        4.51        None
pacparser.yml                   unknown                         41.12       45.29        None
pacparserFixed.yml              unknown                         32.36       35.69        None
picotcp.yml                     unknown                         35.36       39.05        None
picotcpFixed.yml                unknown                         41.59       45.81        None
pjproject.yml                   unknown                         34.06       37.53        None
ppp.yml                         unknown                         41.11       45.29        None
radare2Fixed.yml                false(valid-free)                7.19        7.99        None
radare2_1.yml                   false(valid-deref)               0.81        0.98        None
radare2_1Fixed.yml              unknown                         41.32       45.50        None
radare2_2.yml                   unknown                         40.91       45.16        None
radare2_2Fixed.yml              unknown                         40.99       45.17        None
rizin.yml                       unknown                         41.05       45.21        None
smartdns.yml                    unknown                         37.99       41.92        None
sniproxy.yml                    unknown                         34.76       38.30        None
sniproxyFixed.yml               unknown                         30.50       33.62        None
sofia-sip.yml                   false(valid-deref)               0.57        0.68        None
sofia-sipFixed.yml              unknown                         41.02       45.17        None
sofia-sip_1.yml                 false(valid-deref)               0.92        1.10        None
sofia-sip_2.yml                 false(valid-deref)               1.32        1.51        None
stb.yml                         false(valid-deref)               2.59        2.92        None
stb_1.yml                       false(valid-free)                8.40        9.35        None
tinydir.yml                     false(valid-deref)               6.37        7.08        None
tinytiff.yml                    unknown                          0.73        0.87        None
wasm-micro-runtime.yml          false(valid-deref)               0.48        0.60        None
wasm-micro-runtimeFixed.yml     unknown                         41.11       45.27        None
zchunk.yml                      false(valid-deref)               1.84        2.10        None
zchunkFixed.yml                 unknown                         40.92       45.06        None
zephyr.yml                      unknown                         41.17       45.35        None
zstd.yml                        false(valid-deref)               1.09        1.28        None
zstdFixed.yml                   unknown                         41.10       45.24        None
---------------------------------------------------------------------------------------------
Run set 1                       done                          1793.31      188.29           -


no-overflow.no-overflow
Run set 2 of 2 with options '--sv-comp -timeout 120 -sv-comp-witness witness.graphml' and propertyfile 'None'

inputfile               status                       cpu time   wall time        host
-------------------------------------------------------------------------------------
gpac.yml                false(no-overflow)               0.91        1.06        None
gpac_15.yml             false(no-overflow)               1.52        1.73        None
kilo.yml                false(no-overflow)               0.48        0.61        None
libsndfile.yml          false(no-overflow)              24.35       26.85        None
mujs.yml                false(no-overflow)              11.70       12.95        None
plutovg.yml             false(no-overflow)              22.94       25.29        None
-------------------------------------------------------------------------------------
Run set 2               done                            61.89       27.04           -

Statistics:            113 Files
  correct:              50
    correct true:        2
    correct false:      48
  incorrect:             2
    incorrect true:      1
    incorrect false:     1
  unknown:              61
  Score:                 4 (max: 143)
