   BENCHMARK INFORMATION
benchmark definition:    /mnt/a/master/master/sv-comp_tools/bubaak.xml
name:                    bubaak
run sets:                valid-memsafety.valid-memsafety, no-overflow.no-overflow
date:                    Sun, 2025-04-20 10:40:21 EEST
tool:                    Bubaak 0.9.2-0d2926
tool executable:         /usr/svcomp/tools/bubaak/bubaak
options:                 --sv-comp -timeout 120 -sv-comp-witness witness.graphml
parallel runs:           16
resource limits:
- memory:                4000.0 MB
- time:                  120 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                4000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    raltvein
os:                      Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.35
cpu:                     AMD Ryzen 9 7900X 12-Core Processor
- cores:                 16
- max frequency:         4691.107 MHz
ram:                     8330.231808 MB
------------------------------------------------------------



valid-memsafety.valid-memsafety
Run set 1 of 2 with options '--sv-comp -timeout 120 -sv-comp-witness witness.graphml' and propertyfile 'None'

inputfile                       status                       cpu time   wall time        host
---------------------------------------------------------------------------------------------
MicroHttpServer.yml             false(valid-deref)               8.19        8.47        None
MojoJson.yml                    false(valid-deref)               2.50        2.70        None
NTSC-CRT.yml                    unknown                          0.93        1.17        None
NanoNNG.yml                     unknown                         41.37       41.63        None
NanoNNGFixed.yml                unknown                         41.22       41.43        None
admesh.yml                      false(valid-deref)               0.32        0.49        None
admeshFixed.yml                 true                             0.32        0.47        None
asterisk.yml                    false(valid-deref)              10.77       10.96        None
bzip3.yml                       unknown                         41.29       41.49        None
bzip3Fixed.yml                  unknown                         41.58       41.73        None
cups.yml                        false(valid-deref)               1.56        1.72        None
dlt-daemon.yml                  false(valid-deref)               3.79        3.93        None
editorconfig-core-c.yml         unknown                         31.96       32.11        None
editorconfig-core-cFixed.yml    unknown                         41.29       41.41        None
flatcc.yml                      false(valid-deref)               0.25        0.35        None
frr.yml                         unknown                         31.75       31.88        None
frrFixed.yml                    unknown                         41.16       41.22        None
gpac_1.yml                      false(valid-deref)              39.25       39.33        None
gpac_10.yml                     false(valid-deref)               0.60        0.68        None
gpac_11.yml                     false(valid-deref)               2.82        2.90        None
gpac_12.yml                     false(valid-deref)               2.14        2.23        None
gpac_13.yml                     false(valid-deref)               2.40        2.48        None
gpac_14.yml                     false(valid-deref)               3.86        3.93        None
gpac_16.yml                     unknown                         30.16       30.21        None
gpac_16Fixed.yml                unknown                         29.89       29.95        None
gpac_16Found.yml                unknown                         27.50       27.59        None
gpac_17.yml                     unknown                         27.38       27.46        None
gpac_18.yml                     false(valid-deref)               0.65        0.72        None
gpac_19.yml                     false(valid-deref)              21.21       21.32        None
gpac_1Fixed.yml                 unknown                         18.41       18.49        None
gpac_3.yml                      unknown                         29.88       29.92        None
gpac_5.yml                      false(valid-deref)               0.43        0.50        None
gpac_5Fixed.yml                 unknown                         49.00       49.21        None
gpac_6.yml                      false(valid-deref)              12.64       12.72        None
gpac_7.yml                      unknown                          0.85        0.90        None
gpac_8.yml                      unknown                         45.33       45.40        None
gpac_9.yml                      false(valid-deref)               0.23        0.27        None
gps-sdr-sim.yml                 false(valid-free)               11.78       11.85        None
gss-ntlmssp.yml                 false(valid-deref)               8.98        9.08        None
gss-ntlmsspFixed.yml            unknown                         43.93       43.98        None
hyperkit_1.yml                  false(valid-deref)               0.34        0.42        None
hyperkit_1Fixed.yml             true                             0.43        0.47        None
jhead.yml                       unknown                         41.83       41.88        None
jhead_1.yml                     unknown                         41.64       41.71        None
jq.yml                          false(valid-deref)               8.55        8.65        None
json-c.yml                      unknown                          0.73        0.79        None
json-parser.yml                 false(valid-deref)               2.72        2.80        None
json-parserFixed.yml            unknown                         52.70       52.78        None
krb5.yml                        false(valid-free)                3.28        3.32        None
krb5Fixed.yml                   unknown                         30.09       30.15        None
libeconf.yml                    true                             0.25        0.29        None
liblouis.yml                    unknown                         29.56       29.67        None
libming_1.yml                   unknown                         29.65       29.73        None
libpe.yml                       false(valid-deref)               1.26        1.30        None
libredwg.yml                    false(valid-deref)              11.00       11.09        None
libredwg_1.yml                  false(valid-deref)               4.32        4.39        None
libredwg_1Fixed.yml             unknown                         43.10       43.19        None
memcached.yml                   unknown                         53.04       53.09        None
minizip-ng.yml                  false(valid-deref)              11.33       11.43        None
minizip-ngFixed.yml             unknown                         52.25       52.30        None
minizip-ng_1.yml                false(valid-deref)               1.56        1.60        None
minizip-ng_1Fixed.yml           unknown                         30.28       30.33        None
