   BENCHMARK INFORMATION
benchmark definition:    /mnt/a/master/master/sv-comp_tools/cbmc.xml
name:                    cbmc
run sets:                valid-memsafety.valid-memsafety, no-overflow.no-overflow
date:                    Fri, 2025-04-04 09:42:01 EEST
tool:                    CBMC 5.70.0 (cbmc-5.70.0-121-g4f69955d00)
tool executable:         /usr/svcomp/tools/cbmc/cbmc
options:                 --graphml-witness witness.graphml
parallel runs:           16
resource limits:
- memory:                4000.0 MB
- time:                  120 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                4000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    raltvein
os:                      Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.35
cpu:                     AMD Ryzen 9 7900X 12-Core Processor
- cores:                 16
- max frequency:         4691.108 MHz
ram:                     8330.235904 MB
------------------------------------------------------------



valid-memsafety.valid-memsafety
Run set 1 of 2 with options '--graphml-witness witness.graphml' and propertyfile 'None'

inputfile                       status                       cpu time   wall time        host
---------------------------------------------------------------------------------------------
MicroHttpServer.yml             false(valid-deref)               0.56        0.69        None
MojoJson.yml                    false(valid-deref)               0.32        0.40        None
NTSC-CRT.yml                    false(valid-deref)               0.21        0.27        None
NanoNNG.yml                     TIMEOUT                         93.99      181.03        None
NanoNNGFixed.yml                ERROR (137)                     80.95      180.22        None
admesh.yml                      false(valid-deref)               0.45        0.52        None
admeshFixed.yml                 true                             0.58        0.66        None
asterisk.yml                    false(valid-deref)               1.05        1.17        None
bzip3.yml                       false(valid-memtrack)            0.98        1.10        None
bzip3Fixed.yml                  false(valid-memtrack)            0.76        0.85        None
cups.yml                        false(valid-free)                0.38        0.43        None
dlt-daemon.yml                  false(valid-deref)               4.08        4.51        None
editorconfig-core-c.yml         TIMEOUT                        112.51      181.07        None
editorconfig-core-cFixed.yml    false(unreach-call)             81.51      113.26        None
flatcc.yml                      false(valid-deref)               0.74        0.83        None
frr.yml                         ERROR (137)                     40.13      120.68        None
frrFixed.yml                    ERROR (137)                     28.02       67.53        None
gpac_1.yml                      ERROR (137)                      7.89       11.64        None
gpac_10.yml                     false(valid-deref)               0.15        0.19        None
gpac_11.yml                     false(valid-deref)               0.71        0.92        None
gpac_12.yml                     false(valid-deref)               0.71        0.83        None
gpac_13.yml                     false(valid-deref)               0.61        0.70        None
gpac_14.yml                     false(valid-deref)               0.54        0.62        None
