   BENCHMARK INFORMATION
benchmark definition:    /mnt/a/master/master/sv-comp_tools/cbmc.xml
name:                    cbmc
run sets:                valid-memsafety.valid-memsafety, no-overflow.no-overflow
date:                    Sat, 2025-04-05 10:56:16 EEST
tool:                    CBMC 5.70.0 (cbmc-5.70.0-121-g4f69955d00)
tool executable:         /usr/svcomp/tools/cbmc/cbmc
options:                 --graphml-witness witness.graphml
parallel runs:           16
resource limits:
- memory:                4000.0 MB
- time:                  120 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                4000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    raltvein
os:                      Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.35
cpu:                     AMD Ryzen 9 7900X 12-Core Processor
- cores:                 16
- max frequency:         4691.095 MHz
ram:                     8330.235904 MB
------------------------------------------------------------



valid-memsafety.valid-memsafety
Run set 1 of 2 with options '--graphml-witness witness.graphml' and propertyfile 'None'

inputfile                       status                       cpu time   wall time        host
---------------------------------------------------------------------------------------------
MicroHttpServer.yml             false(valid-deref)               0.53        0.64        None
MojoJson.yml                    false(valid-deref)               0.27        0.33        None
NTSC-CRT.yml                    false(valid-deref)               0.19        0.24        None
NanoNNG.yml                     ERROR (137)                     95.26      167.16        None
NanoNNGFixed.yml                ERROR (137)                     80.06      144.74        None
admesh.yml                      false(valid-deref)               0.47        0.54        None
admeshFixed.yml                 true                             0.42        0.48        None
asterisk.yml                    false(valid-deref)               0.98        1.10        None
bzip3.yml                       ERROR (137)                     47.57       85.49        None
bzip3Fixed.yml                  ERROR (137)                     45.30       80.27        None
cups.yml                        false(valid-free)                0.42        0.49        None
dlt-daemon.yml                  false(valid-deref)               1.55        1.73        None
editorconfig-core-c.yml         TIMEOUT                        120.24      170.88        None
editorconfig-core-cFixed.yml    false(unreach-call)             85.47      118.40        None
flatcc.yml                      false(valid-deref)               0.73        0.82        None
frr.yml                         ERROR (137)                     15.63       28.27        None
frrFixed.yml                    ERROR (137)                     37.40       95.12        None
gpac_1.yml                      ERROR (137)                      5.91        7.91        None
gpac_10.yml                     false(valid-deref)               0.15        0.19        None
gpac_11.yml                     false(valid-deref)               0.64        0.73        None
gpac_12.yml                     false(valid-deref)               0.68        0.79        None
gpac_13.yml                     false(valid-deref)               0.52        0.62        None
gpac_14.yml                     false(valid-deref)               0.51        0.59        None
gpac_16.yml                     ERROR (137)                     11.75       21.10        None
gpac_16Fixed.yml                ERROR (137)                     10.48       16.56        None
gpac_17.yml                     false(valid-deref)              19.86       33.45        None
gpac_18.yml                     false(valid-deref)               0.69        0.80        None
gpac_19.yml                     ERROR (137)                      7.72       11.48        None
gpac_1Fixed.yml                 ERROR (137)                      5.44        8.35        None
gpac_3.yml                      ERROR (137)                     20.28       30.36        None
gpac_5.yml                      false(valid-deref)               0.06        0.09        None
gpac_5Fixed.yml                 TIMEOUT                        121.01      157.13        None
gpac_6.yml                      false(valid-deref)               2.27        4.76        None
gpac_7.yml                      TIMEOUT                        104.82      182.65        None
gpac_8.yml                      false(valid-deref)               0.97        1.69        None
gpac_9.yml                      false(valid-deref)               2.72        4.35        None
gps-sdr-sim.yml                 ERROR (137)                     13.51       23.28        None
gss-ntlmssp.yml                 ERROR (137)                     15.77       28.07        None
gss-ntlmsspFixed.yml            ERROR (137)                     19.32       30.79        None
hyperkit_1.yml                  false(valid-deref)               0.59        1.04        None
hyperkit_1Fixed.yml             true                             0.60        0.97        None
jhead.yml                       TIMEOUT                        120.28      148.95        None
jhead_1.yml                     false(valid-deref)               1.89        2.48        None
jq.yml                          ERROR (137)                     19.17       27.43        None
json-c.yml                      TIMEOUT                        101.55      181.17        None
json-parser.yml                 ERROR (137)                      9.47       17.25        None
json-parserFixed.yml            ERROR (137)                     18.40       27.78        None
kilo.yml                        false(valid-deref)               0.27        0.96        None
krb5.yml                        false(valid-free)                0.22        0.53        None
krb5Fixed.yml                   ERROR (137)                     29.03       39.27        None
libeconf.yml                    TIMEOUT                        120.66      166.12        None
liblouis.yml                    false(valid-memtrack)            0.52        0.80        None
libming_1.yml                   false(unreach-call)              0.56        1.28        None
libpe.yml                       false(valid-deref)               2.09        4.49        None
libredwg.yml                    false(valid-deref)               2.21        2.63        None
libredwg_1.yml                  false(valid-deref)               0.68        0.93        None
libredwg_1Fixed.yml             ERROR (137)                     72.87       94.58        None
memcached.yml                   ERROR (137)                      8.53       12.36        None
minizip-ng.yml                  false(unreach-call)              3.77        4.86        None
minizip-ngFixed.yml             ERROR (137)                     26.29       35.93        None
minizip-ng_1.yml                false(valid-deref)               0.18        0.39        None
minizip-ng_1Fixed.yml           TIMEOUT                        120.60      175.79        None
mongoose.yml                    false(valid-deref)               0.15        0.45        None
mongooseFixed.yml               ERROR (137)                     30.51       37.06        None
mongoose_1.yml                  false(valid-deref)               2.58        3.86        None
moonlight-common-c.yml          ERROR (137)                    103.04      147.90        None
nanopb.yml                      false(valid-deref)               0.30        0.37        None
netatalk.yml                    ERROR (137)                     24.88       32.86        None
netatalkFixed.yml               ERROR (137)                     26.21       35.37        None
