   BENCHMARK INFORMATION
benchmark definition:    /mnt/a/master/master/sv-comp_tools/cpa-bam-smg.xml
name:                    cpa-bam-smg
run sets:                valid-memsafety.valid-memsafety, no-overflow.no-overflow
date:                    Fri, 2025-04-18 20:23:55 EEST
tool:                    CPAchecker 2.0.1-svn-38892M
tool executable:         /usr/svcomp/tools/cpa-bam-smg/scripts/cpa.sh
options:                 -svcomp22-bam-smg -disable-java-assertions -heap 10000m -setprop counterexample.export.graphml=witness.graphml -setprop cpa.arg.proofWitness=witness.graphml -setprop termination.violation.witness=witness.graphml -setprop counterexample.export.compressWitness=false -setprop overflow.config=/usr/svcomp/svcomp25--overflow.properties
parallel runs:           16
resource limits:
- memory:                4000.0 MB
- time:                  120 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                4000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    raltvein
os:                      Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.35
cpu:                     AMD Ryzen 9 7900X 12-Core Processor
- cores:                 16
- max frequency:         4691.104 MHz
ram:                     8330.235904 MB
------------------------------------------------------------



valid-memsafety.valid-memsafety
Run set 1 of 2 with options '-svcomp22-bam-smg -disable-java-assertions -heap 10000m -setprop counterexample.export.graphml=witness.graphml -setprop cpa.arg.proofWitness=witness.graphml -setprop termination.violation.witness=witness.graphml -setprop counterexample.export.compressWitness=false -setprop overflow.config=/usr/svcomp/svcomp25--overflow.properties' and propertyfile 'None'

inputfile                       status                       cpu time   wall time        host
---------------------------------------------------------------------------------------------
MicroHttpServer.yml             false(valid-deref)               6.55        7.60        None
MojoJson.yml                    ERROR                            2.48        3.06        None
NTSC-CRT.yml                    ERROR                            2.41        2.93        None
NanoNNG.yml                     ERROR                            2.54        3.06        None
NanoNNGFixed.yml                ERROR                            2.46        2.99        None
admesh.yml                      false(valid-deref)               2.68        3.28        None
admeshFixed.yml                 true                             2.64        3.25        None
asterisk.yml                    ERROR                            2.57        3.12        None
bzip3.yml                       ERROR                            2.63        3.17        None
bzip3Fixed.yml                  ERROR                            2.70        3.28        None
cups.yml                        ERROR                            2.58        3.07        None
dlt-daemon.yml                  ERROR                            2.56        3.09        None
editorconfig-core-c.yml         ERROR                            2.37        3.15        None
editorconfig-core-cFixed.yml    ERROR                            2.26        3.06        None
flatcc.yml                      false(valid-deref)               2.03        2.87        None
frr.yml                         ERROR                            1.87        2.21        None
frrFixed.yml                    ERROR                            2.66        3.25        None
gpac_1.yml                      ERROR                            2.73        3.14        None
gpac_10.yml                     false(valid-deref)             113.99      125.65        None
gpac_11.yml                     TIMEOUT                        121.48      134.06        None
gpac_12.yml                     false(valid-deref)               3.32        3.72        None
gpac_13.yml                     ERROR                            3.14        3.49        None
gpac_14.yml                     false(valid-deref)              64.00       70.51        None
gpac_16.yml                     ERROR                            3.05        3.40        None
gpac_16Fixed.yml                ERROR                            3.05        3.40        None
gpac_16Found.yml                ERROR                            2.90        3.20        None
gpac_17.yml                     ERROR                            2.81        3.12        None
gpac_18.yml                     TIMEOUT                        121.04      133.22        None
gpac_19.yml                     ERROR                            2.88        3.22        None
gpac_1Fixed.yml                 ERROR                            2.80        3.10        None
gpac_3.yml                      ERROR                            2.82        3.17        None
gpac_5.yml                      ERROR                            2.93        3.46        None
gpac_5Fixed.yml                 ERROR                            2.88        3.33        None
gpac_6.yml                      false(valid-deref)              10.11       11.26        None
gpac_7.yml                      TIMEOUT                        122.23      134.68        None
gpac_8.yml                      ERROR                            2.72        3.06        None
gpac_9.yml                      false(valid-deref)               4.34        4.87        None
gps-sdr-sim.yml                 ERROR                            2.81        3.19        None
gss-ntlmssp.yml                 ERROR                            2.94        3.28        None
gss-ntlmsspFixed.yml            ERROR                            3.05        3.41        None
hyperkit_1.yml                  false(valid-deref)               6.19        6.90        None
hyperkit_1Fixed.yml             true                             3.80        4.23        None
jhead.yml                       ERROR                            2.96        3.28        None
jhead_1.yml                     ERROR                            3.05        3.38        None
jq.yml                          ERROR                            2.97        3.30        None
json-c.yml                      TIMEOUT                        121.82      134.05        None
json-parser.yml                 ERROR                            3.05        3.39        None
json-parserFixed.yml            ERROR                            3.11        3.44        None
krb5.yml                        ERROR                            4.45        4.94        None
krb5Fixed.yml                   ERROR                            4.70        5.20        None
libeconf.yml                    true                             2.69        3.00        None
liblouis.yml                    ERROR                            3.03        3.36        None
libming_1.yml                   ERROR                            2.94        3.26        None
libpe.yml                       ERROR                            3.13        3.46        None
libredwg.yml                    ERROR                            3.74        4.17        None
libredwg_1.yml                  ERROR                            3.11        3.45        None
libredwg_1Fixed.yml             ERROR                            3.09        3.46        None
memcached.yml                   ERROR                            3.25        3.61        None
minizip-ng.yml                  ERROR                            3.02        3.37        None
minizip-ngFixed.yml             ERROR                            3.03        3.38        None
minizip-ng_1.yml                ERROR                            3.02        3.34        None
minizip-ng_1Fixed.yml           ERROR                            2.99        3.31        None
mongoose.yml                    ERROR                            3.14        3.48        None
mongooseFixed.yml               ERROR                            3.10        3.48        None
mongoose_1.yml                  true                             2.90        3.24        None
moonlight-common-c.yml          ERROR                            3.05        3.42        None
nanopb.yml                      ERROR                            3.19        3.52        None
netatalk.yml                    ERROR                            3.01        3.34        None
netatalkFixed.yml               ERROR                            3.08        3.41        None
netconsd.yml                    ERROR                            3.02        3.37        None
openNDS_1.yml                   ERROR                            3.02        3.34        None
openNDS_1Fixed.yml              ERROR                            3.03        3.35        None
openSC.yml                      ERROR                            3.19        3.53        None
openSCFixed.yml                 ERROR                            3.00        3.34        None
openrazer.yml                   ERROR                            3.06        3.44        None
openrazerFixed.yml              ERROR                            3.04        3.37        None
openrazerFound.yml              ERROR                            3.04        3.39        None
pacparser.yml                   ERROR                            2.91        3.26        None
pacparserFixed.yml              ERROR                            2.96        3.28        None
picotcp.yml                     false(valid-free)               11.50       12.73        None
picotcpFixed.yml                false(valid-free)                9.18       10.17        None
pjproject.yml                   ERROR                            3.26        3.62        None
ppp.yml                         ERROR                            3.10        3.46        None
radare2Fixed.yml                ERROR                            3.70        4.11        None
radare2_1.yml                   ERROR                            2.97        3.30        None
radare2_1Fixed.yml              ERROR                            2.95        3.27        None
radare2_2.yml                   ERROR                            3.14        3.49        None
radare2_2Fixed.yml              ERROR                            3.04        3.37        None
rizin.yml                       ERROR                            3.08        3.41        None
smartdns.yml                    ERROR                            4.42        4.89        None
sniproxy.yml                    ERROR                            2.94        3.25        None
sniproxyFixed.yml               ERROR                            2.91        3.27        None
sofia-sip.yml                   ERROR                            3.02        3.35        None
sofia-sipFixed.yml              ERROR                            3.02        3.38        None
sofia-sip_1.yml                 ERROR                            3.20        3.53        None
sofia-sip_2.yml                 ERROR                            3.15        3.50        None
stb.yml                         ERROR                            3.10        3.47        None
stb_1.yml                       ERROR                            4.10        4.54        None
tinydir.yml                     ERROR                            2.89        3.21        None
tinytiff.yml                    false(valid-free)                3.17        3.50        None
wasm-micro-runtime.yml          ERROR                            3.08        3.40        None
wasm-micro-runtimeFixed.yml     ERROR                            3.03        3.37        None
zchunk.yml                      ERROR                            3.05        3.38        None
zchunkFixed.yml                 ERROR                            3.06        3.38        None
zephyr.yml                      ERROR                            2.81        3.12        None
zstd.yml                        ERROR                            2.86        3.16        None
zstdFixed.yml                   ERROR                            2.47        2.75        None
---------------------------------------------------------------------------------------------
Run set 1                       done                           996.56      145.20           -


no-overflow.no-overflow
Run set 2 of 2 with options '-svcomp22-bam-smg -disable-java-assertions -heap 10000m -setprop counterexample.export.graphml=witness.graphml -setprop cpa.arg.proofWitness=witness.graphml -setprop termination.violation.witness=witness.graphml -setprop counterexample.export.compressWitness=false -setprop overflow.config=/usr/svcomp/svcomp25--overflow.properties' and propertyfile 'None'

inputfile               status                       cpu time   wall time        host
-------------------------------------------------------------------------------------
gpac.yml                unknown                          1.58        1.77        None
gpac_15.yml             unknown                          1.53        1.72        None
kilo.yml                unknown                          1.58        1.76        None
libsndfile.yml          unknown                          1.52        1.71        None
mujs.yml                unknown                          1.53        1.73        None
plutovg.yml             unknown                          1.53        1.70        None
-------------------------------------------------------------------------------------
Run set 2               done                             9.24        1.93           -

Statistics:            113 Files
  correct:              12
    correct true:        2
    correct false:      10
  incorrect:             3
    incorrect true:      2
    incorrect false:     1
  unknown:              98
  Score:               -66 (max: 143)
