   BENCHMARK INFORMATION
benchmark definition:    /mnt/a/master/master/sv-comp_tools/cpa-bam-smg.xml
name:                    cpa-bam-smg
run sets:                valid-memsafety.valid-memsafety, no-overflow.no-overflow
date:                    Mon, 2025-04-21 16:12:06 EEST
tool:                    CPAchecker 2.0.1-svn-38892M
tool executable:         /usr/svcomp/tools/cpa-bam-smg/scripts/cpa.sh
options:                 -svcomp22-bam-smg -disable-java-assertions -heap 10000m -setprop counterexample.export.graphml=witness.graphml -setprop cpa.arg.proofWitness=witness.graphml -setprop termination.violation.witness=witness.graphml -setprop counterexample.export.compressWitness=false -setprop overflow.config=/usr/svcomp/svcomp25--overflow.properties
parallel runs:           16
resource limits:
- memory:                4000.0 MB
- time:                  120 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                4000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    raltvein
os:                      Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.35
cpu:                     AMD Ryzen 9 7900X 12-Core Processor
- cores:                 16
- max frequency:         4691.108 MHz
ram:                     8330.231808 MB
------------------------------------------------------------



valid-memsafety.valid-memsafety
Run set 1 of 2 with options '-svcomp22-bam-smg -disable-java-assertions -heap 10000m -setprop counterexample.export.graphml=witness.graphml -setprop cpa.arg.proofWitness=witness.graphml -setprop termination.violation.witness=witness.graphml -setprop counterexample.export.compressWitness=false -setprop overflow.config=/usr/svcomp/svcomp25--overflow.properties' and propertyfile 'None'

inputfile                       status                       cpu time   wall time        host
---------------------------------------------------------------------------------------------
MicroHttpServer.yml             false(valid-deref)               7.36        8.22        None
MojoJson.yml                    ERROR                            3.24        3.66        None
NTSC-CRT.yml                    ERROR                            3.12        3.52        None
NanoNNG.yml                     ERROR                            3.26        3.65        None
NanoNNGFixed.yml                ERROR                            3.28        3.62        None
admesh.yml                      false(valid-deref)               3.58        4.01        None
admeshFixed.yml                 true                             3.36        3.75        None
asterisk.yml                    ERROR                            3.15        3.49        None
bzip3.yml                       ERROR                            3.30        3.67        None
bzip3Fixed.yml                  ERROR                            3.37        3.72        None
cups.yml                        ERROR                            3.16        3.50        None
dlt-daemon.yml                  ERROR                            3.22        3.57        None
editorconfig-core-c.yml         ERROR                            3.08        3.40        None
editorconfig-core-cFixed.yml    ERROR                            3.14        3.58        None
flatcc.yml                      false(valid-deref)               3.15        3.50        None
frr.yml                         ERROR                            3.15        3.49        None
frrFixed.yml                    ERROR                            2.95        3.25        None
gpac_1.yml                      ERROR                            3.04        3.35        None
gpac_10.yml                     false(valid-deref)             116.70      128.33        None
gpac_11.yml                     TIMEOUT                        120.99      133.10        None
gpac_12.yml                     false(valid-deref)               3.56        3.93        None
gpac_13.yml                     ERROR                            3.51        3.89        None
gpac_14.yml                     false(valid-deref)              68.92       75.87        None
gpac_16.yml                     ERROR                            3.11        3.44        None
gpac_16Fixed.yml                ERROR                            3.09        3.42        None
gpac_16Found.yml                ERROR                            3.07        3.40        None
gpac_17.yml                     ERROR                            3.06        3.38        None
