   BENCHMARK INFORMATION
benchmark definition:    /mnt/a/master/master/sv-comp_tools/cpachecker.xml
name:                    cpachecker
run sets:                valid-memsafety.valid-memsafety, no-overflow.no-overflow
date:                    Sat, 2025-04-05 11:06:43 EEST
tool:                    CPAchecker 4.0
tool executable:         /usr/svcomp/tools/CPAchecker-4.0-unix/bin/cpachecker
options:                 --svcomp24 --benchmark --heap 10000m --timelimit '900 s'
parallel runs:           16
resource limits:
- memory:                4000.0 MB
- time:                  900 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                4000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    raltvein
os:                      Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.35
cpu:                     AMD Ryzen 9 7900X 12-Core Processor
- cores:                 16
- max frequency:         4691.095 MHz
ram:                     8330.235904 MB
------------------------------------------------------------



valid-memsafety.valid-memsafety
Run set 1 of 2 with options '--svcomp24 --benchmark --heap 10000m --timelimit 900 s' and propertyfile 'None'

inputfile                       status                       cpu time   wall time        host
---------------------------------------------------------------------------------------------
MicroHttpServer.yml             TIMEOUT                        850.51      936.03        None
MojoJson.yml                    ERROR                            3.45        3.85        None
NTSC-CRT.yml                    ERROR                            3.32        3.67        None
NanoNNG.yml                     ERROR                            3.22        3.58        None
NanoNNGFixed.yml                ERROR                            3.35        3.71        None
admesh.yml                      false(valid-deref)               3.75        4.15        None
admeshFixed.yml                 true                             3.93        4.35        None
asterisk.yml                    ERROR                            3.40        3.76        None
bzip3.yml                       ERROR                            3.49        3.87        None
bzip3Fixed.yml                  ERROR                            3.58        3.96        None
cups.yml                        ERROR                            3.27        3.62        None
dlt-daemon.yml                  ERROR                            3.47        3.84        None
editorconfig-core-c.yml         ERROR                            3.41        3.79        None
editorconfig-core-cFixed.yml    ERROR                            3.30        3.65        None
flatcc.yml                      ERROR                            3.12        3.52        None
frr.yml                         ERROR                            3.23        3.59        None
frrFixed.yml                    ERROR                            3.31        3.70        None
gpac_1.yml                      ERROR                            3.40        3.77        None
gpac_10.yml                     false(valid-deref)              54.06       59.60        None
gpac_11.yml                     ERROR                            3.76        4.20        None
gpac_12.yml                     ERROR                            3.41        3.88        None
gpac_13.yml                     ERROR                            3.29        3.64        None
gpac_14.yml                     ERROR                            3.17        3.51        None
gpac_16.yml                     ERROR                            3.46        3.83        None
gpac_16Fixed.yml                ERROR                            3.55        3.94        None
gpac_17.yml                     ERROR                            3.42        3.80        None
gpac_18.yml                     TIMEOUT                        851.14      936.14        None
gpac_19.yml                     ERROR                            3.40        3.77        None
gpac_1Fixed.yml                 ERROR                            3.49        3.87        None
gpac_3.yml                      ERROR                            3.34        3.74        None
gpac_5.yml                      ERROR                            3.08        3.48        None
gpac_5Fixed.yml                 ERROR                            3.05        3.45        None
gpac_6.yml                      false(valid-deref)             133.84      147.45        None
gpac_7.yml                      TIMEOUT                        850.97      936.03        None
gpac_8.yml                      ERROR                            3.31        3.80        None
gpac_9.yml                      false(valid-deref)               9.13       10.10        None
gps-sdr-sim.yml                 ERROR                            3.52        4.10        None
gss-ntlmssp.yml                 ERROR                            3.55        3.93        None
gss-ntlmsspFixed.yml            ERROR                            3.60        3.98        None
hyperkit_1.yml                  false(valid-deref)               7.46        8.27        None
hyperkit_1Fixed.yml             true                             5.52        6.12        None
jhead.yml                       ERROR                            3.50        3.87        None
jhead_1.yml                     TIMEOUT                        851.05      936.07        None
jq.yml                          ERROR                            3.53        3.90        None
