   BENCHMARK INFORMATION
benchmark definition:    /mnt/a/master/master/sv-comp_tools/cpachecker.xml
name:                    cpachecker
run sets:                valid-memsafety.valid-memsafety, no-overflow.no-overflow
date:                    Tue, 2025-04-15 06:55:56 EEST
tool:                    CPAchecker 4.0
tool executable:         /usr/svcomp/tools/CPAchecker-4.0-unix/bin/cpachecker
options:                 --svcomp24 --benchmark --heap 10000m --timelimit '900 s'
parallel runs:           16
resource limits:
- memory:                4000.0 MB
- time:                  900 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                4000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    raltvein
os:                      Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.35
cpu:                     AMD Ryzen 9 7900X 12-Core Processor
- cores:                 16
- max frequency:         4691.105 MHz
ram:                     8330.231808 MB
------------------------------------------------------------



valid-memsafety.valid-memsafety
Run set 1 of 2 with options '--svcomp24 --benchmark --heap 10000m --timelimit 900 s' and propertyfile 'None'

inputfile                       status                       cpu time   wall time        host
---------------------------------------------------------------------------------------------
MicroHttpServer.yml             TIMEOUT                        850.17      936.10        None
MojoJson.yml                    ERROR                            3.13        3.72        None
NTSC-CRT.yml                    ERROR                            3.11        3.69        None
NanoNNG.yml                     ERROR                            3.21        3.80        None
NanoNNGFixed.yml                ERROR                            3.26        3.82        None
admesh.yml                      false(valid-deref)               3.48        4.14        None
admeshFixed.yml                 true                             3.32        3.97        None
asterisk.yml                    ERROR                            2.98        3.58        None
bzip3.yml                       ERROR                            3.39        3.97        None
bzip3Fixed.yml                  ERROR                            3.37        3.89        None
cups.yml                        ERROR                            3.15        3.70        None
dlt-daemon.yml                  ERROR                            3.23        3.78        None
editorconfig-core-c.yml         ERROR                            3.43        4.20        None
editorconfig-core-cFixed.yml    ERROR                            3.44        4.51        None
flatcc.yml                      ERROR                            2.80        3.58        None
frr.yml                         ERROR                            3.23        3.61        None
frrFixed.yml                    ERROR                            3.19        3.53        None
gpac_1.yml                      ERROR                            3.48        3.86        None
gpac_10.yml                     false(valid-deref)              53.40       59.01        None
gpac_11.yml                     ERROR                            3.78        4.19        None
gpac_12.yml                     ERROR                            3.68        4.08        None
gpac_13.yml                     ERROR                            3.02        3.34        None
gpac_14.yml                     ERROR                            3.57        3.97        None
gpac_16.yml                     ERROR                            3.52        3.90        None
gpac_16Fixed.yml                ERROR                            3.85        4.25        None
gpac_16Found.yml                ERROR                            3.27        3.63        None
gpac_17.yml                     ERROR                            3.37        3.74        None
gpac_18.yml                     TIMEOUT                        850.76      936.02        None
gpac_19.yml                     ERROR                            3.56        3.99        None
gpac_1Fixed.yml                 ERROR                            3.56        3.93        None
gpac_3.yml                      ERROR                            3.38        3.79        None
gpac_5.yml                      ERROR                            2.92        3.42        None
gpac_5Fixed.yml                 ERROR                            3.22        3.96        None
gpac_6.yml                      false(valid-deref)             127.50      140.60        None
gpac_7.yml                      TIMEOUT                        850.77      936.25        None
gpac_8.yml                      ERROR                            3.51        4.07        None
gpac_9.yml                      false(valid-deref)               7.67        8.65        None
gps-sdr-sim.yml                 ERROR                            2.92        3.47        None
gss-ntlmssp.yml                 ERROR                            3.47        4.07        None
gss-ntlmsspFixed.yml            ERROR                            3.71        4.21        None
hyperkit_1.yml                  false(valid-deref)               6.94        7.83        None
hyperkit_1Fixed.yml             true                             5.75        6.65        None
jhead.yml                       ERROR                            3.55        4.24        None
jhead_1.yml                     ERROR                            3.39        3.78        None
jq.yml                          ERROR                            3.58        3.98        None
json-c.yml                      TIMEOUT                        850.93      936.07        None
json-parser.yml                 ERROR                            3.43        3.80        None
json-parserFixed.yml            ERROR                            3.68        4.07        None
kilo.yml                        false(valid-deref)               3.92        4.34        None
krb5.yml                        ERROR                            4.73        5.24        None
krb5Fixed.yml                   ERROR                            4.90        5.42        None
libeconf.yml                    TIMEOUT                        851.16      936.34        None
liblouis.yml                    ERROR                            3.73        4.13        None
libming_1.yml                   ERROR                            3.65        4.06        None
libpe.yml                       TIMEOUT                        850.97      936.15        None
libredwg.yml                    ERROR                            6.47        7.17        None
libredwg_1.yml                  ERROR                            3.71        4.13        None
libredwg_1Fixed.yml             ERROR                            4.15        4.60        None
memcached.yml                   ERROR                            3.95        4.39        None
minizip-ng.yml                  ERROR                            3.61        4.03        None
minizip-ngFixed.yml             ERROR                            3.81        4.22        None
minizip-ng_1.yml                ERROR                            4.02        4.44        None
minizip-ng_1Fixed.yml           ERROR                            3.52        3.91        None
mongoose.yml                    ERROR                            3.77        4.19        None
mongooseFixed.yml               ERROR                            3.74        4.14        None
mongoose_1.yml                  TIMEOUT                        850.91      936.11        None
moonlight-common-c.yml          ERROR                            3.79        4.23        None
nanopb.yml                      ERROR                            4.06        4.49        None
netatalk.yml                    ERROR                            3.79        4.20        None
netatalkFixed.yml               ERROR                            3.75        4.17        None
netconsd.yml                    ERROR                            4.21        4.65        None
openNDS_1.yml                   ERROR                            3.69        4.10        None
openNDS_1Fixed.yml              ERROR                            3.80        4.22        None
openSC.yml                      ERROR                            4.01        4.48        None
openSCFixed.yml                 ERROR                            4.03        4.49        None
openrazer.yml                   ERROR                            4.02        4.45        None
openrazerFixed.yml              ERROR                            4.18        4.68        None
openrazerFound.yml              ERROR                            4.04        4.52        None
pacparser.yml                   ERROR                            3.80        4.24        None
pacparserFixed.yml              ERROR                            3.71        4.12        None
picotcp.yml                     false(valid-free)                9.86       10.87        None
picotcpFixed.yml                false(valid-free)                9.36       10.33        None
pjproject.yml                   ERROR                            4.05        4.49        None
plutovg.yml                     ERROR                            3.86        4.27        None
ppp.yml                         ERROR                            3.99        4.41        None
radare2.yml                     false(valid-memtrack)            4.92        5.45        None
radare2Fixed.yml                false(valid-memtrack)            4.71        5.22        None
radare2_1.yml                   ERROR                            4.05        4.48        None
radare2_1Fixed.yml              ERROR                            4.23        4.70        None
radare2_2.yml                   ERROR                            4.06        4.50        None
radare2_2Fixed.yml              ERROR                            3.94        4.38        None
rizin.yml                       ERROR                            4.10        4.54        None
smartdns.yml                    ERROR                            5.48        6.05        None
sniproxy.yml                    ERROR                            4.07        4.51        None
sniproxyFixed.yml               ERROR                            3.86        4.27        None
sofia-sip.yml                   ERROR                            3.85        4.25        None
sofia-sipFixed.yml              ERROR                            3.76        4.16        None
sofia-sip_1.yml                 ERROR                            4.12        4.56        None
sofia-sip_2.yml                 ERROR                            4.21        4.66        None
stb.yml                         ERROR                            4.19        4.65        None
stb_1.yml                       ERROR                            5.30        5.85        None
tinydir.yml                     ERROR                            3.74        4.14        None
tinytiff.yml                    false(valid-free)                4.04        4.48        None
wasm-micro-runtime.yml          ERROR                            3.82        4.23        None
wasm-micro-runtimeFixed.yml     ERROR                            3.88        4.29        None
zchunk.yml                      ERROR                            3.94        4.36        None
zchunkFixed.yml                 ERROR                            3.51        3.90        None
zephyr.yml                      ERROR                            3.66        4.05        None
zstd.yml                        ERROR                            3.42        3.81        None
zstdFixed.yml                   ERROR                            3.59        3.99        None
---------------------------------------------------------------------------------------------
Run set 1                       done                          6537.58      958.01           -


no-overflow.no-overflow
Run set 2 of 2 with options '--svcomp24 --benchmark --heap 10000m --timelimit 900 s' and propertyfile 'None'

inputfile               status                       cpu time   wall time        host
-------------------------------------------------------------------------------------
gpac.yml                false(no-overflow)               2.80        3.10        None
gpac_15.yml             false(no-overflow)               2.79        3.09        None
kilo.yml                true                             3.58        3.97        None
libsndfile.yml          false(no-overflow)              12.92       14.26        None
mujs.yml                TIMEOUT                        856.37      942.08        None
plutovg.yml             false(no-overflow)               2.82        3.13        None
-------------------------------------------------------------------------------------
Run set 2               done                           881.25      942.25           -

Statistics:            116 Files
  correct:              14
    correct true:        2
    correct false:      12
  incorrect:             3
    incorrect true:      1
    incorrect false:     2
  unknown:              99
  Score:               -48 (max: 146)
