   BENCHMARK INFORMATION
benchmark definition:    /mnt/a/master/master/sv-comp_tools/cpachecker.xml
name:                    cpachecker
run sets:                valid-memsafety.valid-memsafety, no-overflow.no-overflow
date:                    Sun, 2025-04-20 11:04:29 EEST
tool:                    CPAchecker 4.0
tool executable:         /usr/svcomp/tools/CPAchecker-4.0-unix/bin/cpachecker
options:                 --svcomp24 --benchmark --heap 10000m --timelimit '900 s'
parallel runs:           16
resource limits:
- memory:                4000.0 MB
- time:                  900 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                4000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    raltvein
os:                      Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.35
cpu:                     AMD Ryzen 9 7900X 12-Core Processor
- cores:                 16
- max frequency:         4691.107 MHz
ram:                     8330.231808 MB
------------------------------------------------------------



valid-memsafety.valid-memsafety
Run set 1 of 2 with options '--svcomp24 --benchmark --heap 10000m --timelimit 900 s' and propertyfile 'None'

inputfile                       status                       cpu time   wall time        host
---------------------------------------------------------------------------------------------
MicroHttpServer.yml             TIMEOUT                        903.15      907.72        None
MojoJson.yml                    ERROR                            3.37        3.42        None
NTSC-CRT.yml                    ERROR                            3.20        3.23        None
NanoNNG.yml                     ERROR                            3.48        3.51        None
NanoNNGFixed.yml                ERROR                            3.54        3.56        None
admesh.yml                      false(valid-deref)               3.85        3.93        None
admeshFixed.yml                 true                             3.81        3.84        None
asterisk.yml                    ERROR                            3.55        3.59        None
bzip3.yml                       ERROR                            3.65        3.74        None
bzip3Fixed.yml                  ERROR                            3.60        3.66        None
cups.yml                        ERROR                            3.49        3.56        None
dlt-daemon.yml                  ERROR                            3.50        3.69        None
editorconfig-core-c.yml         ERROR                            3.45        3.48        None
editorconfig-core-cFixed.yml    ERROR                            3.43        3.45        None
flatcc.yml                      ERROR                            3.18        3.25        None
frr.yml                         ERROR                            3.38        3.41        None
frrFixed.yml                    ERROR                            3.24        3.28        None
gpac_1.yml                      ERROR                            3.42        3.61        None
gpac_10.yml                     false(valid-deref)              59.34       59.49        None
gpac_11.yml                     ERROR                            3.74        3.79        None
gpac_12.yml                     ERROR                            3.60        3.65        None
gpac_13.yml                     ERROR                            3.22        3.27        None
gpac_14.yml                     ERROR                            3.46        3.68        None
gpac_16.yml                     ERROR                            3.54        3.60        None
gpac_16Fixed.yml                ERROR                            3.59        3.65        None
gpac_16Found.yml                ERROR                            3.64        3.66        None
gpac_17.yml                     ERROR                            3.49        3.51        None
gpac_18.yml                     TIMEOUT                        901.84      905.87        None
gpac_19.yml                     ERROR                            3.56        3.58        None
gpac_1Fixed.yml                 ERROR                            3.43        3.44        None
gpac_3.yml                      ERROR                            3.52        3.55        None
gpac_5.yml                      ERROR                            3.31        3.36        None
gpac_5Fixed.yml                 ERROR                            3.42        3.45        None
gpac_6.yml                      false(valid-deref)             145.03      147.26        None
gpac_7.yml                      TIMEOUT                        901.42      905.43        None
gpac_8.yml                      ERROR                            3.59        3.61        None
gpac_9.yml                      false(valid-deref)               9.22        9.27        None
gps-sdr-sim.yml                 ERROR                            3.36        3.38        None
gss-ntlmssp.yml                 ERROR                            3.66        3.68        None
gss-ntlmsspFixed.yml            ERROR                            3.73        3.76        None
hyperkit_1.yml                  false(valid-deref)               7.60        7.63        None
hyperkit_1Fixed.yml             true                             5.58        5.59        None
jhead.yml                       ERROR                            3.39        3.43        None
jhead_1.yml                     ERROR                            3.57        3.59        None
jq.yml                          ERROR                            3.45        3.48        None
json-c.yml                      TIMEOUT                        902.64      906.66        None
json-parser.yml                 ERROR                            3.72        3.75        None
json-parserFixed.yml            ERROR                            3.59        3.62        None
krb5.yml                        ERROR                            4.92        4.95        None
krb5Fixed.yml                   ERROR                            5.08        5.12        None
libeconf.yml                    TIMEOUT                        901.45      905.40        None
liblouis.yml                    ERROR                            3.64        3.69        None
libming_1.yml                   ERROR                            3.75        3.79        None
libpe.yml                       TIMEOUT                        902.00      906.03        None
libredwg.yml                    ERROR                            7.13        7.17        None
