   BENCHMARK INFORMATION
benchmark definition:    /mnt/a/master/master/sv-comp_tools/cpachecker.xml
name:                    cpachecker
run sets:                valid-memsafety.valid-memsafety, no-overflow.no-overflow
date:                    Mon, 2025-04-21 16:14:22 EEST
tool:                    CPAchecker 4.0
tool executable:         /usr/svcomp/tools/CPAchecker-4.0-unix/bin/cpachecker
options:                 --svcomp24 --benchmark --heap 10000m --timelimit '900 s'
parallel runs:           16
resource limits:
- memory:                4000.0 MB
- time:                  900 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                4000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    raltvein
os:                      Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.35
cpu:                     AMD Ryzen 9 7900X 12-Core Processor
- cores:                 16
- max frequency:         4691.108 MHz
ram:                     8330.231808 MB
------------------------------------------------------------



valid-memsafety.valid-memsafety
Run set 1 of 2 with options '--svcomp24 --benchmark --heap 10000m --timelimit 900 s' and propertyfile 'None'

inputfile                       status                       cpu time   wall time        host
---------------------------------------------------------------------------------------------
MicroHttpServer.yml             TIMEOUT                        850.58      936.06        None
MojoJson.yml                    ERROR                            3.05        3.60        None
NTSC-CRT.yml                    ERROR                            2.75        3.35        None
NanoNNG.yml                     ERROR                            3.14        3.71        None
NanoNNGFixed.yml                ERROR                            3.23        3.81        None
admesh.yml                      false(valid-deref)               3.43        4.10        None
admeshFixed.yml                 true                             3.28        3.95        None
asterisk.yml                    ERROR                            6.66        7.70        None
bzip3.yml                       ERROR                            3.21        3.80        None
bzip3Fixed.yml                  ERROR                            3.17        3.79        None
cups.yml                        ERROR                            3.11        3.80        None
dlt-daemon.yml                  ERROR                            3.15        3.84        None
editorconfig-core-c.yml         ERROR                            3.09        4.08        None
editorconfig-core-cFixed.yml    ERROR                            3.26        4.16        None
flatcc.yml                      ERROR                            2.98        4.04        None
frr.yml                         ERROR                            3.11        3.54        None
frrFixed.yml                    ERROR                            3.29        3.72        None
gpac_1.yml                      ERROR                            3.24        3.68        None
gpac_10.yml                     false(valid-deref)              58.25       64.22        None
gpac_11.yml                     ERROR                            3.39        3.82        None
gpac_12.yml                     ERROR                            3.23        3.67        None
gpac_13.yml                     ERROR                            3.12        3.47        None
gpac_14.yml                     ERROR                            3.03        3.40        None
gpac_16.yml                     ERROR                            3.29        3.68        None
gpac_16Fixed.yml                ERROR                            3.27        3.77        None
gpac_16Found.yml                ERROR                            3.13        3.57        None
gpac_17.yml                     ERROR                            2.82        3.18        None
gpac_18.yml                     TIMEOUT                        851.57      936.29        None
gpac_19.yml                     ERROR                            2.88        3.40        None
gpac_1Fixed.yml                 ERROR                            2.54        2.98        None
gpac_3.yml                      ERROR                            3.37        4.10        None
gpac_5.yml                      ERROR                            3.43        3.95        None
gpac_5Fixed.yml                 ERROR                            3.59        4.12        None
gpac_6.yml                      false(valid-deref)             137.94      151.71        None
gpac_7.yml                      TIMEOUT                        851.52      936.10        None
gpac_8.yml                      ERROR                            3.47        3.84        None
gpac_9.yml                      false(valid-deref)               9.17       10.10        None
gps-sdr-sim.yml                 ERROR                            3.69        4.07        None
gss-ntlmssp.yml                 ERROR                            3.52        3.89        None
