   BENCHMARK INFORMATION
benchmark definition:    /mnt/a/master/master/sv-comp_tools/esbmc-kind.xml
name:                    esbmc-kind
run sets:                valid-memsafety.valid-memsafety, no-overflow.no-overflow
date:                    Sun, 2025-04-06 19:46:53 EEST
tool:                    ESBMC
tool executable:         /usr/svcomp/tools/esbmc-kind/esbmc-wrapper.py
options:                 -s kinduction
parallel runs:           16
resource limits:
- memory:                4000.0 MB
- time:                  120 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                4000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    raltvein
os:                      Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.35
cpu:                     AMD Ryzen 9 7900X 12-Core Processor
- cores:                 16
- max frequency:         4691.086 MHz
ram:                     8330.231808 MB
------------------------------------------------------------



valid-memsafety.valid-memsafety
Run set 1 of 2 with options '-s kinduction' and propertyfile 'None'

inputfile                       status                       cpu time   wall time        host
---------------------------------------------------------------------------------------------
MicroHttpServer.yml             false(valid-deref)               0.71        0.91        None
MojoJson.yml                    false(valid-free)                0.60        0.76        None
NTSC-CRT.yml                    false(valid-deref)               4.95        5.54        None
NanoNNG.yml                     TIMEOUT                        120.91      134.37        None
NanoNNGFixed.yml                TIMEOUT                        120.92      134.72        None
admesh.yml                      false(valid-deref)               2.95        3.33        None
admeshFixed.yml                 true                             2.07        2.33        None
asterisk.yml                    false(valid-deref)               1.43        1.61        None
bzip3.yml                       TIMEOUT                        121.06      135.58        None
bzip3Fixed.yml                  TIMEOUT                        120.90      136.71        None
cups.yml                        unknown                          0.92        1.07        None
dlt-daemon.yml                  false(valid-memtrack)            2.12        2.35        None
editorconfig-core-c.yml         TIMEOUT                        120.92      134.35        None
editorconfig-core-cFixed.yml    TIMEOUT                        120.92      134.45        None
flatcc.yml                      false(valid-deref)               0.63        0.72        None
frr.yml                         false(valid-deref)              38.04       42.63        None
frrFixed.yml                    TIMEOUT                        120.89      136.22        None
gpac_1.yml                      false(valid-deref)              80.59       95.80        None
gpac_10.yml                     false(valid-deref)               0.22        0.28        None
gpac_11.yml                     false(valid-deref)               0.24        0.28        None
gpac_12.yml                     false(valid-deref)               0.33        0.38        None
gpac_13.yml                     unknown                          1.23        1.94        None
gpac_14.yml                     false(valid-deref)               0.34        0.40        None
gpac_16.yml                     TIMEOUT                        120.91      139.37        None
gpac_16Fixed.yml                TIMEOUT                        120.80      139.36        None
gpac_17.yml                     unknown                         45.24       55.75        None
gpac_18.yml                     false(valid-deref)               0.51        0.57        None
gpac_19.yml                     TIMEOUT                        120.91      135.30        None
gpac_1Fixed.yml                 TIMEOUT                        120.99      140.61        None
gpac_3.yml                      false(valid-deref)              79.81       89.33        None
gpac_5.yml                      false(valid-deref)               0.19        0.22        None
gpac_5Fixed.yml                 TIMEOUT                        120.92      134.92        None
gpac_6.yml                      false(valid-deref)               0.70        0.94        None
gpac_7.yml                      TIMEOUT                        120.91      135.61        None
gpac_8.yml                      false(valid-deref)               1.54        2.22        None
gpac_9.yml                      false(valid-deref)               0.49        0.56        None
gps-sdr-sim.yml                 unknown                          0.14        0.18        None
gss-ntlmssp.yml                 false(valid-deref)              15.60       17.29        None
gss-ntlmsspFixed.yml            TIMEOUT                        120.92      134.60        None
hyperkit_1.yml                  false(valid-deref)               1.02        1.34        None
hyperkit_1Fixed.yml             true                             0.95        1.47        None
jhead.yml                       TIMEOUT                        120.92      133.48        None
jhead_1.yml                     false(valid-deref)              17.11       19.20        None
jq.yml                          TIMEOUT                        120.93      133.12        None
json-c.yml                      TIMEOUT                        120.96      133.19        None
json-parser.yml                 TIMEOUT                        120.92      133.06        None
json-parserFixed.yml            TIMEOUT                        120.93      133.08        None
kilo.yml                        false(valid-deref)               0.27        0.31        None
krb5.yml                        false(valid-free)                0.65        0.73        None
krb5Fixed.yml                   TIMEOUT                        120.93      133.08        None
libeconf.yml                    TIMEOUT                        120.94      133.06        None
liblouis.yml                    TIMEOUT                        120.93      133.03        None
libming_1.yml                   unknown                          0.13        0.16        None
libpe.yml                       false(valid-deref)               0.91        1.03        None
libredwg.yml                    false(valid-deref)               1.54        1.71        None
libredwg_1.yml                  false(valid-deref)               1.09        1.22        None
libredwg_1Fixed.yml             TIMEOUT                        120.91      133.18        None
memcached.yml                   TIMEOUT                        120.96      133.05        None
minizip-ng.yml                  false(valid-deref)               1.58        1.76        None
minizip-ngFixed.yml             TIMEOUT                        120.92      133.20        None
minizip-ng_1.yml                false(valid-deref)               0.44        0.51        None
minizip-ng_1Fixed.yml           TIMEOUT                        120.93      133.10        None
mongoose.yml                    false(valid-deref)               0.27        0.32        None
mongooseFixed.yml               TIMEOUT                        120.93      133.27        None
mongoose_1.yml                  TIMEOUT                        120.93      133.04        None
moonlight-common-c.yml          TIMEOUT                        120.92      133.10        None
nanopb.yml                      TIMEOUT                        120.92      133.08        None
netatalk.yml                    TIMEOUT                        120.94      133.05        None
netatalkFixed.yml               TIMEOUT                        120.93      133.05        None
netconsd.yml                    TIMEOUT                        120.93      133.85        None
openNDS_1.yml                   TIMEOUT                        120.93      133.17        None
openNDS_1Fixed.yml              TIMEOUT                        120.93      133.41        None
openSC.yml                      TIMEOUT                        120.93      133.31        None
openSCFixed.yml                 TIMEOUT                        120.93      133.10        None
openrazer.yml                   TIMEOUT                        120.89      133.05        None
openrazerFixed.yml              TIMEOUT                        120.92      133.26        None
pacparser.yml                   TIMEOUT                        120.92      133.28        None
pacparserFixed.yml              TIMEOUT                        120.92      133.20        None
picotcp.yml                     false(valid-deref)               0.24        0.28        None
picotcpFixed.yml                TIMEOUT                        120.93      133.10        None
pjproject.yml                   false(valid-deref)              59.87       66.03        None
plutovg.yml                     false(valid-deref)               1.00        1.12        None
ppp.yml                         false(valid-deref)               0.23        0.28        None
radare2.yml                     false(valid-deref)               1.58        1.76        None
radare2Fixed.yml                true                             3.13        3.47        None
radare2_1.yml                   false(valid-deref)               0.33        0.38        None
radare2_1Fixed.yml              TIMEOUT                        120.94      133.06        None
radare2_2.yml                   TIMEOUT                        120.92      133.06        None
radare2_2Fixed.yml              TIMEOUT                        120.96      133.18        None
rizin.yml                       false(valid-deref)               2.93        3.25        None
smartdns.yml                    TIMEOUT                        120.15      132.24        None
sniproxy.yml                    TIMEOUT                        120.15      132.18        None
sniproxyFixed.yml               TIMEOUT                        120.03      132.05        None
sofia-sip.yml                   false(valid-deref)               0.37        0.43        None
sofia-sipFixed.yml              false(valid-memtrack)            0.32        0.37        None
sofia-sip_1.yml                 false(valid-deref)               0.38        0.43        None
