   BENCHMARK INFORMATION
benchmark definition:    /mnt/a/master/master/sv-comp_tools/esbmc-kind.xml
name:                    esbmc-kind
run sets:                valid-memsafety.valid-memsafety, no-overflow.no-overflow
date:                    Fri, 2025-04-18 19:40:44 EEST
tool:                    ESBMC
tool executable:         /usr/svcomp/tools/esbmc-kind/esbmc-wrapper.py
options:                 -s kinduction
parallel runs:           16
resource limits:
- memory:                4000.0 MB
- time:                  120 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                4000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    raltvein
os:                      Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.35
cpu:                     AMD Ryzen 9 7900X 12-Core Processor
- cores:                 16
- max frequency:         4691.104 MHz
ram:                     8330.235904 MB
------------------------------------------------------------



valid-memsafety.valid-memsafety
Run set 1 of 2 with options '-s kinduction' and propertyfile 'None'

inputfile                       status                       cpu time   wall time        host
---------------------------------------------------------------------------------------------
MicroHttpServer.yml             false(valid-deref)               0.72        0.93        None
MojoJson.yml                    false(valid-deref)               0.77        0.96        None
NTSC-CRT.yml                    false(valid-deref)               5.41        6.08        None
NanoNNG.yml                     TIMEOUT                        120.88      137.94        None
NanoNNGFixed.yml                TIMEOUT                        120.90      137.07        None
admesh.yml                      false(valid-deref)               3.02        3.39        None
admeshFixed.yml                 true                             2.51        2.84        None
asterisk.yml                    unknown                          0.19        0.25        None
bzip3.yml                       TIMEOUT                        120.90      137.70        None
bzip3Fixed.yml                  TIMEOUT                        120.91      137.21        None
cups.yml                        unknown                          0.93        1.06        None
dlt-daemon.yml                  false(valid-deref)               2.64        2.92        None
editorconfig-core-c.yml         TIMEOUT                        120.91      135.44        None
editorconfig-core-cFixed.yml    TIMEOUT                        120.92      135.29        None
flatcc.yml                      false(valid-deref)               0.73        0.84        None
frr.yml                         false(valid-deref)              42.07       48.64        None
frrFixed.yml                    TIMEOUT                        120.90      136.35        None
gpac_1.yml                      unknown                         38.01       47.23        None
gpac_10.yml                     false(valid-deref)               0.36        0.41        None
gpac_11.yml                     false(valid-deref)               0.32        0.38        None
gpac_12.yml                     false(valid-deref)               0.30        0.35        None
gpac_13.yml                     unknown                          1.47        1.79        None
gpac_14.yml                     false(valid-deref)               0.36        0.41        None
gpac_16.yml                     TIMEOUT                        120.88      142.26        None
gpac_16Fixed.yml                TIMEOUT                        120.71      140.03        None
gpac_16Found.yml                TIMEOUT                        120.86      139.97        None
gpac_17.yml                     false(valid-deref)              83.04      106.05        None
gpac_18.yml                     false(valid-deref)               0.51        0.58        None
gpac_19.yml                     unknown                          0.16        0.18        None
gpac_1Fixed.yml                 TIMEOUT                        120.99      150.34        None
gpac_3.yml                      false(valid-deref)              61.53       70.46        None
gpac_5.yml                      false(valid-deref)               0.26        0.30        None
gpac_5Fixed.yml                 TIMEOUT                        120.89      137.47        None
gpac_6.yml                      false(valid-deref)               0.98        1.27        None
gpac_7.yml                      TIMEOUT                        120.93      133.84        None
gpac_8.yml                      false(valid-deref)               1.66        1.85        None
gpac_9.yml                      false(valid-deref)               0.58        0.66        None
gps-sdr-sim.yml                 unknown                          0.17        0.21        None
gss-ntlmssp.yml                 false(valid-deref)              17.55       20.01        None
gss-ntlmsspFixed.yml            TIMEOUT                        120.92      134.58        None
hyperkit_1.yml                  false(valid-deref)               1.02        1.20        None
hyperkit_1Fixed.yml             true                             0.91        1.02        None
jhead.yml                       TIMEOUT                        120.93      133.68        None
jhead_1.yml                     false(valid-deref)              20.30       23.42        None
jq.yml                          TIMEOUT                        120.94      133.05        None
json-c.yml                      TIMEOUT                        120.04      132.03        None
json-parser.yml                 TIMEOUT                        120.92      133.08        None
json-parserFixed.yml            TIMEOUT                        120.92      133.28        None
krb5.yml                        false(valid-free)                0.66        0.75        None
krb5Fixed.yml                   TIMEOUT                        120.93      133.07        None
libeconf.yml                    unknown                          0.16        0.19        None
liblouis.yml                    TIMEOUT                        120.92      133.20        None
libming_1.yml                   TIMEOUT                        120.93      133.21        None
libpe.yml                       false(valid-deref)               1.02        1.15        None
libredwg.yml                    false(valid-deref)               2.17        2.41        None
libredwg_1.yml                  false(valid-deref)               1.10        1.23        None
libredwg_1Fixed.yml             TIMEOUT                        120.92      133.23        None
memcached.yml                   TIMEOUT                        120.99      133.16        None
minizip-ng.yml                  false(valid-deref)               1.69        1.87        None
minizip-ngFixed.yml             TIMEOUT                        120.92      133.09        None
minizip-ng_1.yml                false(valid-deref)               0.45        0.51        None
minizip-ng_1Fixed.yml           TIMEOUT                        120.91      133.13        None
mongoose.yml                    false(valid-deref)               0.34        0.39        None
mongooseFixed.yml               TIMEOUT                        120.93      133.06        None
mongoose_1.yml                  TIMEOUT                        120.93      133.06        None
moonlight-common-c.yml          TIMEOUT                        120.92      133.22        None
nanopb.yml                      TIMEOUT                        120.92      133.17        None
netatalk.yml                    TIMEOUT                        120.94      133.10        None
netatalkFixed.yml               TIMEOUT                        120.89      133.12        None
netconsd.yml                    unknown                          0.15        0.19        None
openNDS_1.yml                   TIMEOUT                        120.92      133.06        None
openNDS_1Fixed.yml              TIMEOUT                        120.92      133.14        None
openSC.yml                      TIMEOUT                        120.93      133.17        None
openSCFixed.yml                 TIMEOUT                        120.93      133.04        None
openrazer.yml                   TIMEOUT                        120.93      133.61        None
