   BENCHMARK INFORMATION
benchmark definition:    /mnt/a/master/master/sv-comp_tools/esbmc-kind.xml
name:                    esbmc-kind
run sets:                valid-memsafety.valid-memsafety, no-overflow.no-overflow
date:                    Mon, 2025-04-21 15:28:20 EEST
tool:                    ESBMC
tool executable:         /usr/svcomp/tools/esbmc-kind/esbmc-wrapper.py
options:                 -s kinduction
parallel runs:           16
resource limits:
- memory:                4000.0 MB
- time:                  120 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                4000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    raltvein
os:                      Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.35
cpu:                     AMD Ryzen 9 7900X 12-Core Processor
- cores:                 16
- max frequency:         4691.108 MHz
ram:                     8330.231808 MB
------------------------------------------------------------



valid-memsafety.valid-memsafety
Run set 1 of 2 with options '-s kinduction' and propertyfile 'None'

inputfile                       status                       cpu time   wall time        host
---------------------------------------------------------------------------------------------
MicroHttpServer.yml             false(valid-deref)               0.75        0.95        None
MojoJson.yml                    false(valid-deref)               0.77        0.93        None
NTSC-CRT.yml                    false(valid-deref)               5.38        5.99        None
NanoNNG.yml                     TIMEOUT                        120.91      136.47        None
NanoNNGFixed.yml                TIMEOUT                        120.91      136.19        None
admesh.yml                      false(valid-deref)               2.98        3.32        None
admeshFixed.yml                 true                             2.49        2.77        None
asterisk.yml                    false(valid-deref)               2.32        2.58        None
bzip3.yml                       TIMEOUT                        120.88      139.99        None
bzip3Fixed.yml                  TIMEOUT                        120.82      138.47        None
cups.yml                        unknown                          0.93        1.04        None
dlt-daemon.yml                  false(valid-deref)               2.51        2.78        None
editorconfig-core-c.yml         TIMEOUT                        120.90      137.69        None
editorconfig-core-cFixed.yml    TIMEOUT                        120.90      138.00        None
flatcc.yml                      false(valid-deref)               0.74        0.83        None
frr.yml                         false(valid-deref)              38.31       43.51        None
frrFixed.yml                    TIMEOUT                        120.88      138.15        None
gpac_1.yml                      unknown                         33.55       40.22        None
gpac_10.yml                     false(valid-deref)               0.30        0.35        None
gpac_11.yml                     false(valid-deref)               0.28        0.32        None
gpac_12.yml                     false(valid-deref)               0.30        0.42        None
gpac_13.yml                     unknown                          1.33        1.62        None
gpac_14.yml                     false(valid-deref)               0.31        0.36        None
gpac_16.yml                     TIMEOUT                        120.86      140.30        None
gpac_16Fixed.yml                TIMEOUT                        120.73      141.04        None
gpac_16Found.yml                TIMEOUT                        120.91      140.38        None
gpac_17.yml                     false(valid-deref)              78.23      103.39        None
gpac_18.yml                     false(valid-deref)               0.47        0.53        None
gpac_19.yml                     unknown                          0.15        0.17        None
gpac_1Fixed.yml                 TIMEOUT                        120.99      150.16        None
gpac_3.yml                      false(valid-deref)              57.32       65.14        None
gpac_5.yml                      false(valid-deref)               0.26        0.30        None
gpac_5Fixed.yml                 TIMEOUT                        120.90      137.03        None
gpac_6.yml                      false(valid-deref)               0.87        1.34        None
gpac_7.yml                      TIMEOUT                        120.90      136.00        None
gpac_8.yml                      false(valid-deref)               1.57        1.75        None
gpac_9.yml                      false(valid-deref)               0.52        0.60        None
gps-sdr-sim.yml                 TIMEOUT                        120.92      133.88        None
gss-ntlmssp.yml                 false(valid-deref)              16.44       18.70        None
gss-ntlmsspFixed.yml            TIMEOUT                        120.92      134.43        None
hyperkit_1.yml                  false(valid-deref)               0.93        1.23        None
hyperkit_1Fixed.yml             true                             0.92        1.04        None
jhead.yml                       TIMEOUT                        120.93      133.35        None
jhead_1.yml                     false(valid-deref)              18.75       20.64        None
jq.yml                          TIMEOUT                        120.94      133.12        None
json-c.yml                      TIMEOUT                        120.05      132.00        None
json-parser.yml                 TIMEOUT                        120.90      133.02        None
json-parserFixed.yml            TIMEOUT                        120.03      131.99        None
krb5.yml                        false(valid-free)                0.58        0.66        None
krb5Fixed.yml                   TIMEOUT                        120.02      132.00        None
libeconf.yml                    false(valid-deref)             104.94      115.62        None
liblouis.yml                    TIMEOUT                        120.03      131.99        None
libming_1.yml                   TIMEOUT                        120.94      133.02        None
libpe.yml                       false(valid-deref)               0.99        1.12        None
