   BENCHMARK INFORMATION
benchmark definition:    /mnt/a/master/master/sv-comp_tools/predatorHP.xml
name:                    predatorHP
run sets:                valid-memsafety.valid-memsafety, no-overflow.no-overflow
date:                    Mon, 2025-04-21 15:05:47 EEST
tool:                    PredatorHP 3.1415
tool executable:         /usr/svcomp/tools/PredatorHP-2024/predatorHP.py
options:
parallel runs:           16
resource limits:
- memory:                4000.0 MB
- time:                  120 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                4000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    raltvein
os:                      Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.35
cpu:                     AMD Ryzen 9 7900X 12-Core Processor
- cores:                 16
- max frequency:         4691.108 MHz
ram:                     8330.231808 MB
------------------------------------------------------------



valid-memsafety.valid-memsafety
Run set 1 of 2 with options '' and propertyfile 'None'

inputfile                       status                       cpu time   wall time        host
---------------------------------------------------------------------------------------------
MicroHttpServer.yml             TIMEOUT                        120.92      133.15        None
MojoJson.yml                    false(valid-deref)               0.19        0.28        None
NTSC-CRT.yml                    unknown                          0.13        0.28        None
NanoNNG.yml                     unknown                          5.89        6.54        None
NanoNNGFixed.yml                unknown                          9.06       10.06        None
admesh.yml                      false(valid-deref)               0.19        0.28        None
admeshFixed.yml                 true                             0.25        0.29        None
asterisk.yml                    false(valid-deref)               0.20        0.29        None
bzip3.yml                       TIMEOUT                        120.05      131.96        None
bzip3Fixed.yml                  TIMEOUT                        120.04      131.99        None
cups.yml                        unknown                          0.19        0.29        None
dlt-daemon.yml                  TIMEOUT                        120.07      131.94        None
editorconfig-core-c.yml         TIMEOUT                        120.92      133.08        None
editorconfig-core-cFixed.yml    TIMEOUT                        120.92      133.00        None
flatcc.yml                      false(valid-deref)               0.16        0.30        None
frr.yml                         TIMEOUT                        120.02      132.01        None
frrFixed.yml                    false(valid-deref)               0.48        0.54        None
gpac_1.yml                      TIMEOUT                        120.02      132.07        None
gpac_10.yml                     unknown                          0.83        1.04        None
gpac_11.yml                     unknown                          0.26        0.53        None
gpac_12.yml                     unknown                          0.17        0.28        None
gpac_13.yml                     unknown                          0.12        0.28        None
gpac_14.yml                     unknown                          1.31        1.53        None
gpac_16.yml                     TIMEOUT                        120.03      131.97        None
gpac_16Fixed.yml                TIMEOUT                        120.04      131.94        None
gpac_16Found.yml                TIMEOUT                        120.03      131.98        None
gpac_17.yml                     TIMEOUT                        120.93      133.04        None
gpac_18.yml                     unknown                         95.38      105.08        None
gpac_19.yml                     unknown                          0.12        0.31        None
gpac_1Fixed.yml                 TIMEOUT                        120.03      132.03        None
gpac_3.yml                      TIMEOUT                        120.93      133.07        None
gpac_5.yml                      unknown                          0.16        0.28        None
gpac_5Fixed.yml                 true                             0.16        0.29        None
gpac_6.yml                      TIMEOUT                        120.03      131.99        None
gpac_7.yml                      TIMEOUT                        120.03      132.03        None
gpac_8.yml                      TIMEOUT                        120.02      131.96        None
gpac_9.yml                      unknown                          0.31        0.53        None
gps-sdr-sim.yml                 false(valid-deref)               0.17        0.28        None
gss-ntlmssp.yml                 TIMEOUT                        120.04      131.97        None
gss-ntlmsspFixed.yml            TIMEOUT                        120.03      131.98        None
hyperkit_1.yml                  TIMEOUT                        120.93      133.04        None
hyperkit_1Fixed.yml             true                             1.36        1.53        None
jhead.yml                       TIMEOUT                        120.02      131.99        None
jhead_1.yml                     TIMEOUT                        120.03      131.94        None
jq.yml                          unknown                          1.85        2.29        None
json-c.yml                      TIMEOUT                        120.07      131.98        None
json-parser.yml                 TIMEOUT                        120.03      131.97        None
json-parserFixed.yml            TIMEOUT                        120.02      131.98        None
krb5.yml                        unknown                          0.54        0.78        None
krb5Fixed.yml                   unknown                          0.50        0.79        None
libeconf.yml                    false(valid-deref)               0.17        0.28        None
liblouis.yml                    TIMEOUT                        120.91      133.26        None
libming_1.yml                   TIMEOUT                        120.92      133.15        None
libpe.yml                       false(valid-deref)               0.48        0.54        None
libredwg.yml                    false(valid-deref)               1.39        1.54        None
libredwg_1.yml                  TIMEOUT                        120.03      131.95        None
libredwg_1Fixed.yml             TIMEOUT                        120.03      132.07        None
memcached.yml                   unknown                          1.90        2.29        None
minizip-ng.yml                  false(valid-deref)              71.60       78.76        None
minizip-ngFixed.yml             TIMEOUT                        120.04      131.97        None
minizip-ng_1.yml                unknown                          0.15        0.29        None
minizip-ng_1Fixed.yml           unknown                          0.15        0.28        None
mongoose.yml                    unknown                          0.19        0.29        None
mongooseFixed.yml               unknown                          0.20        0.28        None
mongoose_1.yml                  unknown                          0.11        0.28        None
moonlight-common-c.yml          TIMEOUT                        120.91      133.21        None
nanopb.yml                      unknown                          0.20        0.30        None
netatalk.yml                    unknown                        109.63      120.89        None
netatalkFixed.yml               unknown                        106.71      117.61        None
netconsd.yml                    unknown                          1.66        2.04        None
openNDS_1.yml                   TIMEOUT                        120.92      133.05        None
openNDS_1Fixed.yml              TIMEOUT                        120.93      133.02        None
openSC.yml                      TIMEOUT                        120.03      131.98        None
openSCFixed.yml                 TIMEOUT                        120.03      131.96        None
openrazer.yml                   TIMEOUT                        120.04      131.96        None
openrazerFixed.yml              TIMEOUT                        120.03      131.97        None
openrazerFound.yml              TIMEOUT                        120.93      133.06        None
pacparser.yml                   unknown                          0.14        0.30        None
pacparserFixed.yml              unknown                          0.13        0.30        None
picotcp.yml                     false(valid-deref)               0.17        0.31        None
picotcpFixed.yml                false(valid-deref)               0.18        0.30        None
pjproject.yml                   TIMEOUT                        120.04      131.96        None
ppp.yml                         TIMEOUT                        120.03      132.02        None
radare2Fixed.yml                unknown                          0.21        0.29        None
radare2_1.yml                   unknown                          0.15        0.30        None
radare2_1Fixed.yml              unknown                          0.17        0.28        None
radare2_2.yml                   TIMEOUT                        120.02      132.03        None
radare2_2Fixed.yml              TIMEOUT                        120.93      133.19        None
rizin.yml                       unknown                          0.16        0.29        None
smartdns.yml                    TIMEOUT                        120.03      131.98        None
sniproxy.yml                    unknown                          0.14        0.29        None
sniproxyFixed.yml               unknown                          0.14        0.29        None
sofia-sip.yml                   unknown                          0.15        0.29        None
sofia-sipFixed.yml              unknown                          0.16        0.29        None
sofia-sip_1.yml                 unknown                         46.04       50.68        None
sofia-sip_2.yml                 TIMEOUT                        120.05      132.00        None
stb.yml                         TIMEOUT                        120.27      132.25        None
stb_1.yml                       unknown                          0.16        0.28        None
tinydir.yml                     unknown                          0.16        0.28        None
tinytiff.yml                    unknown                          0.14        0.28        None
wasm-micro-runtime.yml          false(valid-deref)               0.48        0.54        None
wasm-micro-runtimeFixed.yml     unknown                         60.81       66.97        None
zchunk.yml                      TIMEOUT                        120.12      132.05        None
zchunkFixed.yml                 TIMEOUT                        120.05      131.94        None
zephyr.yml                      unknown                          0.14        0.28        None
zstd.yml                        false(valid-deref)               0.49        0.54        None
zstdFixed.yml                   TIMEOUT                        120.11      132.03        None
---------------------------------------------------------------------------------------------
Run set 1                       done                           560.99      532.07           -


no-overflow.no-overflow
Run set 2 of 2 with options '' and propertyfile 'None'

inputfile               status                       cpu time   wall time        host
-------------------------------------------------------------------------------------
gpac.yml                unknown                          0.14        0.28        None
gpac_15.yml             true                             0.12        0.27        None
kilo.yml                unknown                          0.14        0.28        None
libsndfile.yml          true                             0.25        0.28        None
mujs.yml                TIMEOUT                        120.18      132.10        None
plutovg.yml             unknown                          0.10        0.28        None
-------------------------------------------------------------------------------------
Run set 2               done                             1.30      132.29           -

Statistics:            113 Files
  correct:              14
    correct true:        3
    correct false:      11
  incorrect:             4
    incorrect true:      2
    incorrect false:     2
  unknown:              95
  Score:               -79 (max: 143)
