   BENCHMARK INFORMATION
benchmark definition:    /mnt/a/master/master/sv-comp_tools/symbiotic.xml
name:                    symbiotic
run sets:                valid-memsafety.valid-memsafety, no-overflow.no-overflow
date:                    Sat, 2025-04-05 09:48:08 EEST
tool:                    symbiotic 10.0.0-rc1-f6104f53
tool executable:         /usr/svcomp/tools/symbiotic/bin/symbiotic
options:                 --sv-comp
parallel runs:           16
resource limits:
- memory:                4000.0 MB
- time:                  120 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                4000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    raltvein
os:                      Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.35
cpu:                     AMD Ryzen 9 7900X 12-Core Processor
- cores:                 16
- max frequency:         4691.095 MHz
ram:                     8330.235904 MB
------------------------------------------------------------



valid-memsafety.valid-memsafety
Run set 1 of 2 with options '--sv-comp' and propertyfile 'None'

inputfile                       status                       cpu time   wall time        host
---------------------------------------------------------------------------------------------
MicroHttpServer.yml             false(valid-deref)              13.16       15.44        None
MojoJson.yml                    false(valid-free)                2.24        2.86        None
NTSC-CRT.yml                    true                             0.51        0.92        None
NanoNNG.yml                     TIMEOUT (verification)         120.45      134.47        None
NanoNNGFixed.yml                TIMEOUT (verification)         120.24      134.54        None
admesh.yml                      false(valid-deref)               0.66        1.09        None
admeshFixed.yml                 true                             0.54        0.92        None
asterisk.yml                    ERROR(returned 1, verification-finished)        0.71        1.30        None
bzip3.yml                       false(valid-deref)              98.93      109.30        None
bzip3Fixed.yml                  false(valid-deref)             111.90      123.55        None
cups.yml                        false(valid-deref)               2.72        3.30        None
dlt-daemon.yml                  ERROR(returned 1, verification-finished)        0.92        1.74        None
editorconfig-core-c.yml         TIMEOUT (verification)         120.71      134.13        None
editorconfig-core-cFixed.yml    TIMEOUT (verification)         120.54      134.45        None
flatcc.yml                      false(valid-deref)               1.03        1.42        None
frr.yml                         TIMEOUT (verification)         120.77      134.13        None
frrFixed.yml                    TIMEOUT (verification)         120.65      134.70        None
gpac_1.yml                      false(valid-deref)              27.43       30.25        None
gpac_10.yml                     false(valid-deref)               0.96        1.15        None
gpac_11.yml                     ERROR(returned 1, verification-finished)        0.95        1.65        None
gpac_12.yml                     ERROR(returned 1, verification-finished)        0.74        1.24        None
