   BENCHMARK INFORMATION
benchmark definition:    /mnt/a/master/master/sv-comp_tools/symbiotic.xml
name:                    symbiotic
run sets:                valid-memsafety.valid-memsafety, no-overflow.no-overflow
date:                    Tue, 2025-04-15 05:36:23 EEST
tool:                    symbiotic 10.0.0-rc1-f6104f53
tool executable:         /usr/svcomp/tools/symbiotic/bin/symbiotic
options:                 --sv-comp
parallel runs:           16
resource limits:
- memory:                4000.0 MB
- time:                  120 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                4000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    raltvein
os:                      Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.35
cpu:                     AMD Ryzen 9 7900X 12-Core Processor
- cores:                 16
- max frequency:         4691.105 MHz
ram:                     8330.231808 MB
------------------------------------------------------------



valid-memsafety.valid-memsafety
Run set 1 of 2 with options '--sv-comp' and propertyfile 'None'

inputfile                       status                       cpu time   wall time        host
---------------------------------------------------------------------------------------------
MicroHttpServer.yml             false(valid-deref)              12.80       13.41        None
MojoJson.yml                    false(valid-deref)               2.34        2.65        None
NTSC-CRT.yml                    true                             0.49        0.80        None
NanoNNG.yml                     TIMEOUT (verification)         120.26      165.38        None
NanoNNGFixed.yml                TIMEOUT (verification)         120.55      170.56        None
admesh.yml                      false(valid-deref)               0.64        0.92        None
admeshFixed.yml                 true                             0.53        0.79        None
asterisk.yml                    ERROR(returned 1, verification-finished)        0.70        1.10        None
bzip3.yml                       false(valid-deref)              87.11      100.81        None
bzip3Fixed.yml                  TIMEOUT (verification)         120.65      167.87        None
cups.yml                        false(valid-deref)               1.80        2.02        None
dlt-daemon.yml                  ERROR(returned 1, verification-finished)        0.84        1.24        None
editorconfig-core-c.yml         TIMEOUT (verification)         120.35      169.59        None
editorconfig-core-cFixed.yml    TIMEOUT (verification)         120.92      167.60        None
flatcc.yml                      false(valid-deref)               0.84        1.06        None
frr.yml                         TIMEOUT (verification)         120.37      161.16        None
frrFixed.yml                    TIMEOUT (verification)         120.51      158.02        None
gpac_1.yml                      false(valid-deref)              26.87       26.90        None
gpac_10.yml                     false(valid-deref)               0.71        0.75        None
gpac_11.yml                     ERROR(returned 1, verification-finished)        0.77        1.65        None
gpac_12.yml                     ERROR(returned 1, verification-finished)        0.66        1.69        None
gpac_13.yml                     ERROR(returned 1, verification-finished)        0.52        1.62        None
gpac_14.yml                     ERROR(returned 1, verification-finished)        0.58        1.20        None
gpac_16.yml                     false(valid-deref)               2.21        2.25        None
gpac_16Fixed.yml                TIMEOUT (verification)         120.31      162.52        None
gpac_16Found.yml                false(valid-deref)               2.74        2.78        None
gpac_17.yml                     false(valid-deref)               8.94        8.98        None
gpac_18.yml                     false(valid-deref)               0.83        0.86        None
gpac_19.yml                     false(valid-deref)              10.75       10.79        None
gpac_1Fixed.yml                 TIMEOUT (verification)         120.56      175.32        None
gpac_3.yml                      TIMEOUT (verification)         115.24      182.84        None
gpac_5.yml                      false(valid-deref)               0.65        0.69        None
gpac_5Fixed.yml                 TIMEOUT (verification)         113.33      181.11        None
gpac_6.yml                      false(valid-deref)              12.96       13.00        None
gpac_7.yml                      ERROR(returned 1, verification-finished)        0.48        0.75        None
gpac_8.yml                      ERROR(returned 1, verification-finished)        2.78        3.22        None
gpac_9.yml                      ERROR(returned 1, verification-finished)        0.74        0.96        None
gps-sdr-sim.yml                 ERROR(returned 1, verification-finished)        0.72        1.01        None
gss-ntlmssp.yml                 false(valid-deref)               8.25        8.44        None
