   BENCHMARK INFORMATION
benchmark definition:    /mnt/a/master/master/sv-comp_tools/symbiotic.xml
name:                    symbiotic
run sets:                valid-memsafety.valid-memsafety, no-overflow.no-overflow
date:                    Mon, 2025-04-21 14:55:13 EEST
tool:                    symbiotic 10.0.0-rc1-f6104f53
tool executable:         /usr/svcomp/tools/symbiotic/bin/symbiotic
options:                 --sv-comp
parallel runs:           16
resource limits:
- memory:                4000.0 MB
- time:                  120 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                4000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    raltvein
os:                      Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.35
cpu:                     AMD Ryzen 9 7900X 12-Core Processor
- cores:                 16
- max frequency:         4691.108 MHz
ram:                     8330.231808 MB
------------------------------------------------------------



valid-memsafety.valid-memsafety
Run set 1 of 2 with options '--sv-comp' and propertyfile 'None'

inputfile                       status                       cpu time   wall time        host
---------------------------------------------------------------------------------------------
MicroHttpServer.yml             false(valid-deref)              16.58       19.24        None
MojoJson.yml                    false(valid-deref)               2.87        3.48        None
NTSC-CRT.yml                    true                             0.51        0.91        None
NanoNNG.yml                     TIMEOUT (verification)         120.33      173.97        None
NanoNNGFixed.yml                TIMEOUT (verification)         117.21      181.07        None
admesh.yml                      false(valid-deref)               0.71        1.08        None
admeshFixed.yml                 true                             0.58        0.93        None
asterisk.yml                    TIMEOUT (verification)         113.44      181.26        None
bzip3.yml                       false(valid-deref)              94.32      122.72        None
bzip3Fixed.yml                  TIMEOUT (verification)         121.53      178.34        None
cups.yml                        false(valid-deref)               2.28        2.73        None
dlt-daemon.yml                  ERROR(returned 1, verification-finished)        0.94        1.48        None
editorconfig-core-c.yml         TIMEOUT (verification)         119.88      180.96        None
editorconfig-core-cFixed.yml    TIMEOUT (verification)         120.11      176.20        None
flatcc.yml                      false(valid-deref)               1.10        1.45        None
frr.yml                         TIMEOUT (verification)         120.33      169.16        None
frrFixed.yml                    TIMEOUT (verification)         120.83      171.51        None
