   BENCHMARK INFORMATION
benchmark definition:    /mnt/a/master/master/sv-comp_tools/uautomizer.xml
name:                    uautomizer
run sets:                valid-memsafety.valid-memsafety, no-overflow.no-overflow
date:                    Fri, 2025-04-04 08:52:50 EEST
tool:                    ULTIMATE Automizer 0.3.0-d790fecc
tool executable:         /usr/svcomp/tools/UAutomizer-linux/Ultimate.py
options:                 --full-output
parallel runs:           16
resource limits:
- memory:                4000.0 MB
- time:                  120 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                4000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    raltvein
os:                      Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.35
cpu:                     AMD Ryzen 9 7900X 12-Core Processor
- cores:                 16
- max frequency:         4691.108 MHz
ram:                     8330.235904 MB
------------------------------------------------------------



valid-memsafety.valid-memsafety
Run set 1 of 2 with options '--full-output' and propertyfile 'None'

inputfile                       status                       cpu time   wall time        host
---------------------------------------------------------------------------------------------
MicroHttpServer.yml             TIMEOUT                        120.94      134.10        None
MojoJson.yml                    TIMEOUT                        120.90      134.92        None
NTSC-CRT.yml                    true                            13.94       17.15        None
NanoNNG.yml                     TIMEOUT                        120.94      134.01        None
NanoNNGFixed.yml                TIMEOUT                        120.94      134.01        None
admesh.yml                      TIMEOUT                        120.94      133.95        None
admeshFixed.yml                 TIMEOUT                        120.94      134.66        None
asterisk.yml                    unknown                         19.36       22.63        None
bzip3.yml                       unknown                         30.07       36.29        None
bzip3Fixed.yml                  unknown                         81.01       92.20        None
cups.yml                        unknown                        111.92      126.75        None
dlt-daemon.yml                  unknown                         21.62       25.64        None
editorconfig-core-c.yml         unknown                         36.58       44.15        None
editorconfig-core-cFixed.yml    unknown                         36.22       43.95        None
flatcc.yml                      unknown                         20.11       24.55        None
frr.yml                         TIMEOUT                        120.93      134.41        None
frrFixed.yml                    TIMEOUT                        120.94      134.46        None
gpac_1.yml                      TIMEOUT                        120.93      134.00        None
gpac_10.yml                     false(valid-deref)              11.22       12.67        None
gpac_11.yml                     TIMEOUT                        120.93      133.62        None
gpac_12.yml                     TIMEOUT                        120.94      133.77        None
gpac_13.yml                     TIMEOUT                        120.96      133.66        None
gpac_14.yml                     TIMEOUT                        120.94      134.36        None
gpac_16.yml                     unknown                         54.86       64.88        None
gpac_16Fixed.yml                unknown                         57.43       67.71        None
gpac_17.yml                     TIMEOUT                        120.94      134.59        None
gpac_18.yml                     false(valid-deref)              20.00       23.21        None
gpac_19.yml                     unknown                         85.51       98.15        None
gpac_1Fixed.yml                 TIMEOUT                        120.97      135.38        None
gpac_3.yml                      TIMEOUT                        120.93      134.68        None
gpac_5.yml                      false(valid-deref)               6.15        7.16        None
gpac_5Fixed.yml                 true                             6.37        7.32        None
gpac_6.yml                      TIMEOUT                        120.94      133.25        None
gpac_7.yml                      true                            11.50       12.85        None
gpac_8.yml                      TIMEOUT                        120.92      134.36        None
gpac_9.yml                      unknown                        117.32      132.73        None
gps-sdr-sim.yml                 unknown                         15.82       18.55        None
gss-ntlmssp.yml                 TIMEOUT                        120.94      133.94        None
gss-ntlmsspFixed.yml            TIMEOUT                        120.93      133.75        None
hyperkit_1.yml                  TIMEOUT                        120.94      134.23        None
hyperkit_1Fixed.yml             TIMEOUT                        120.91      135.54        None
jhead.yml                       TIMEOUT                        120.87      139.88        None
jhead_1.yml                     TIMEOUT                        120.93      134.07        None
jq.yml                          TIMEOUT                        120.91      137.14        None
json-c.yml                      TIMEOUT                        120.91      135.50        None
json-parser.yml                 TIMEOUT                        120.92      134.68        None
json-parserFixed.yml            TIMEOUT                        120.92      134.54        None
kilo.yml                        unknown                         15.72       18.84        None
krb5.yml                        TIMEOUT                        120.95      133.41        None
krb5Fixed.yml                   TIMEOUT                        120.94      133.14        None
libeconf.yml                    unknown                         13.78       15.71        None
liblouis.yml                    unknown                         50.45       59.99        None
libming_1.yml                   ERROR (7)                       11.31       12.77        None
libpe.yml                       TIMEOUT                        120.92      133.87        None
libredwg.yml                    TIMEOUT                        121.85      134.26        None
libredwg_1.yml                  TIMEOUT                        120.94      134.02        None
libredwg_1Fixed.yml             unknown                         10.57       11.98        None
memcached.yml                   TIMEOUT                        120.93      134.41        None
minizip-ng.yml                  false(valid-deref)              43.11       49.12        None
minizip-ngFixed.yml             TIMEOUT                        120.85      133.99        None
minizip-ng_1.yml                unknown                         29.94       35.14        None
minizip-ng_1Fixed.yml           unknown                         31.97       37.36        None
mongoose.yml                    false(valid-deref)              11.21       12.78        None
mongooseFixed.yml               true                            14.93       17.11        None
mongoose_1.yml                  true                             7.52        8.68        None
moonlight-common-c.yml          unknown                         51.70       61.89        None
nanopb.yml                      TIMEOUT                        120.91      138.14        None
netatalk.yml                    unknown                         63.70       74.92        None
netatalkFixed.yml               TIMEOUT                        120.90      138.22        None
netconsd.yml                    ERROR (7)                       11.30       12.76        None
openNDS_1.yml                   TIMEOUT                        120.94      134.11        None
openNDS_1Fixed.yml              TIMEOUT                        120.97      134.12        None
openSC.yml                      TIMEOUT                        120.92      136.31        None
openSCFixed.yml                 TIMEOUT                        120.93      133.93        None
openrazer.yml                   TIMEOUT                        120.95      134.00        None
openrazerFixed.yml              TIMEOUT                        120.92      134.72        None
pacparser.yml                   unknown                         82.11       95.15        None
pacparserFixed.yml              unknown                         79.30       91.64        None
picotcp.yml                     unknown                         14.53       16.96        None
picotcpFixed.yml                unknown                         14.92       17.56        None
pjproject.yml                   TIMEOUT                        120.95      133.13        None
plutovg.yml                     false(valid-deref)              10.39       11.93        None
ppp.yml                         false(valid-deref)              95.09      105.50        None
radare2.yml                     TIMEOUT                        120.97      138.33        None
radare2Fixed.yml                TIMEOUT                        120.90      138.63        None
radare2_1.yml                   unknown                         27.18       33.18        None
radare2_1Fixed.yml              unknown                         28.09       33.87        None
radare2_2.yml                   unknown                         64.77       75.42        None
radare2_2Fixed.yml              unknown                         61.80       72.35        None
rizin.yml                       false(valid-deref)              12.94       15.29        None
smartdns.yml                    TIMEOUT                        121.00      138.01        None
sniproxy.yml                    unknown                         29.67       36.36        None
