   BENCHMARK INFORMATION
benchmark definition:    /mnt/a/master/master/sv-comp_tools/uautomizer.xml
name:                    uautomizer
run sets:                valid-memsafety.valid-memsafety, no-overflow.no-overflow
date:                    Sat, 2025-04-05 10:05:33 EEST
tool:                    ULTIMATE Automizer 0.3.0-d790fecc
tool executable:         /usr/svcomp/tools/UAutomizer-linux/Ultimate.py
options:                 --full-output
parallel runs:           16
resource limits:
- memory:                4000.0 MB
- time:                  120 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                4000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    raltvein
os:                      Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.35
cpu:                     AMD Ryzen 9 7900X 12-Core Processor
- cores:                 16
- max frequency:         4691.095 MHz
ram:                     8330.235904 MB
------------------------------------------------------------



valid-memsafety.valid-memsafety
Run set 1 of 2 with options '--full-output' and propertyfile 'None'

inputfile                       status                       cpu time   wall time        host
---------------------------------------------------------------------------------------------
MicroHttpServer.yml             TIMEOUT                        120.88      135.48        None
MojoJson.yml                    TIMEOUT                        120.90      134.32        None
NTSC-CRT.yml                    true                            14.89       17.92        None
NanoNNG.yml                     TIMEOUT                        120.94      134.04        None
NanoNNGFixed.yml                TIMEOUT                        120.93      134.10        None
admesh.yml                      TIMEOUT                        120.95      133.87        None
admeshFixed.yml                 TIMEOUT                        120.94      133.99        None
asterisk.yml                    unknown                         19.85       22.84        None
bzip3.yml                       TIMEOUT                        120.92      136.53        None
bzip3Fixed.yml                  TIMEOUT                        120.86      136.51        None
cups.yml                        unknown                        112.16      127.03        None
dlt-daemon.yml                  unknown                         17.97       21.07        None
editorconfig-core-c.yml         unknown                         51.88       61.56        None
editorconfig-core-cFixed.yml    unknown                         49.06       58.05        None
flatcc.yml                      unknown                         20.37       24.77        None
frr.yml                         TIMEOUT                        120.93      134.43        None
frrFixed.yml                    TIMEOUT                        120.93      134.26        None
gpac_1.yml                      TIMEOUT                        120.94      135.16        None
gpac_10.yml                     false(valid-deref)              11.62       13.12        None
gpac_11.yml                     TIMEOUT                        120.91      134.65        None
gpac_12.yml                     TIMEOUT                        120.93      133.79        None
gpac_13.yml                     TIMEOUT                        120.94      133.74        None
gpac_14.yml                     TIMEOUT                        120.90      134.19        None
gpac_16.yml                     unknown                         59.02       69.72        None
gpac_16Fixed.yml                unknown                         58.09       68.34        None
gpac_17.yml                     TIMEOUT                        120.93      134.43        None
gpac_18.yml                     false(valid-deref)              22.37       25.62        None
gpac_19.yml                     TIMEOUT                        120.93      134.03        None
gpac_1Fixed.yml                 TIMEOUT                        120.93      134.58        None
gpac_3.yml                      TIMEOUT                        120.93      134.22        None
gpac_5.yml                      false(valid-deref)               6.01        6.84        None
gpac_5Fixed.yml                 true                             7.04        8.06        None
gpac_6.yml                      TIMEOUT                        120.94      134.74        None
gpac_7.yml                      true                            11.90       13.51        None
gpac_8.yml                      TIMEOUT                        120.94      133.92        None
gpac_9.yml                      unknown                         96.26      109.02        None
gps-sdr-sim.yml                 unknown                         16.56       19.62        None
gss-ntlmssp.yml                 TIMEOUT                        120.94      133.72        None
gss-ntlmsspFixed.yml            TIMEOUT                        120.94      133.74        None
hyperkit_1.yml                  TIMEOUT                        120.95      133.75        None
hyperkit_1Fixed.yml             TIMEOUT                        120.94      134.73        None
jhead.yml                       TIMEOUT                        120.85      139.23        None
jhead_1.yml                     TIMEOUT                        120.93      134.38        None
jq.yml                          TIMEOUT                        120.91      137.19        None
json-c.yml                      TIMEOUT                        120.88      135.66        None
json-parser.yml                 TIMEOUT                        120.94      133.93        None
json-parserFixed.yml            TIMEOUT                        120.93      134.33        None
kilo.yml                        unknown                         15.30       17.71        None
krb5.yml                        TIMEOUT                        120.94      133.26        None
krb5Fixed.yml                   TIMEOUT                        120.94      133.35        None
libeconf.yml                    unknown                         12.85       14.92        None
liblouis.yml                    unknown                         54.92       65.04        None
libming_1.yml                   ERROR (7)                       11.92       13.57        None
libpe.yml                       TIMEOUT                        120.94      133.59        None
libredwg.yml                    TIMEOUT                        120.94      133.17        None
libredwg_1.yml                  TIMEOUT                        120.93      134.35        None
libredwg_1Fixed.yml             TIMEOUT                        120.93      134.28        None
memcached.yml                   TIMEOUT                        120.94      134.12        None
minizip-ng.yml                  false(valid-deref)              48.05       54.53        None
minizip-ngFixed.yml             TIMEOUT                        120.93      133.73        None
minizip-ng_1.yml                unknown                         31.17       36.53        None
minizip-ng_1Fixed.yml           unknown                         31.60       37.01        None
