   BENCHMARK INFORMATION
benchmark definition:    /mnt/a/master/master/sv-comp_tools/uautomizer.xml
name:                    uautomizer
run sets:                valid-memsafety.valid-memsafety, no-overflow.no-overflow
date:                    Sun, 2025-04-13 10:10:57 EEST
tool:                    ULTIMATE Automizer 0.3.0-d790fecc
tool executable:         /usr/svcomp/tools/UAutomizer-linux/Ultimate.py
options:                 --full-output
parallel runs:           16
resource limits:
- memory:                4000.0 MB
- time:                  120 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                4000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    raltvein
os:                      Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.35
cpu:                     AMD Ryzen 9 7900X 12-Core Processor
- cores:                 16
- max frequency:         4691.081 MHz
ram:                     8330.231808 MB
------------------------------------------------------------



valid-memsafety.valid-memsafety
Run set 1 of 2 with options '--full-output' and propertyfile 'None'

inputfile                       status                       cpu time   wall time        host
---------------------------------------------------------------------------------------------
MicroHttpServer.yml             ERROR (7)                       84.01       93.90        None
MojoJson.yml                    TIMEOUT                        120.67      129.10        None
NTSC-CRT.yml                    true                            14.41       16.59        None
NanoNNG.yml                     TIMEOUT                        120.57      130.61        None
NanoNNGFixed.yml                TIMEOUT                        120.83      127.79        None
admesh.yml                      TIMEOUT                        120.80      128.94        None
admeshFixed.yml                 TIMEOUT                        120.81      128.70        None
asterisk.yml                    unknown                         19.75       21.58        None
bzip3.yml                       TIMEOUT                        120.65      132.27        None
bzip3Fixed.yml                  TIMEOUT                        120.70      131.37        None
cups.yml                        unknown                         89.84       99.01        None
dlt-daemon.yml                  unknown                         19.70       22.39        None
editorconfig-core-c.yml         unknown                         55.82       63.87        None
editorconfig-core-cFixed.yml    unknown                         39.25       45.51        None
flatcc.yml                      unknown                         21.42       24.28        None
frr.yml                         unknown                         37.72       44.26        None
frrFixed.yml                    unknown                         41.17       48.97        None
gpac_1.yml                      TIMEOUT                        120.61      127.56        None
gpac_10.yml                     false(valid-deref)              24.02       26.12        None
gpac_11.yml                     TIMEOUT                        120.82      127.80        None
gpac_12.yml                     TIMEOUT                        120.63      128.01        None
gpac_13.yml                     TIMEOUT                        120.87      126.88        None
gpac_14.yml                     TIMEOUT                        120.87      126.14        None
gpac_16.yml                     false(valid-deref)              34.75       36.91        None
gpac_16Fixed.yml                TIMEOUT                        120.55      130.39        None
