   BENCHMARK INFORMATION
benchmark definition:    /mnt/a/master/master/sv-comp_tools/uautomizer.xml
name:                    uautomizer
run sets:                valid-memsafety.valid-memsafety, no-overflow.no-overflow
date:                    Tue, 2025-04-15 05:57:00 EEST
tool:                    ULTIMATE Automizer 0.3.0-d790fecc
tool executable:         /usr/svcomp/tools/UAutomizer-linux/Ultimate.py
options:                 --full-output
parallel runs:           16
resource limits:
- memory:                4000.0 MB
- time:                  120 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                4000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    raltvein
os:                      Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.35
cpu:                     AMD Ryzen 9 7900X 12-Core Processor
- cores:                 16
- max frequency:         4691.105 MHz
ram:                     8330.231808 MB
------------------------------------------------------------



valid-memsafety.valid-memsafety
Run set 1 of 2 with options '--full-output' and propertyfile 'None'

inputfile                       status                       cpu time   wall time        host
---------------------------------------------------------------------------------------------
MicroHttpServer.yml             TIMEOUT                        120.45      135.24        None
MojoJson.yml                    TIMEOUT                        120.52      134.66        None
NTSC-CRT.yml                    true                            14.04       17.46        None
NanoNNG.yml                     TIMEOUT                        120.41      135.56        None
NanoNNGFixed.yml                TIMEOUT                        120.59      134.53        None
admesh.yml                      TIMEOUT                        120.50      134.76        None
admeshFixed.yml                 TIMEOUT                        120.60      135.72        None
asterisk.yml                    unknown                         19.15       22.31        None
bzip3.yml                       TIMEOUT                        120.74      138.26        None
bzip3Fixed.yml                  TIMEOUT                        120.79      138.72        None
cups.yml                        unknown                         77.22       89.42        None
dlt-daemon.yml                  unknown                         18.15       22.61        None
editorconfig-core-c.yml         unknown                         39.73       48.06        None
editorconfig-core-cFixed.yml    unknown                         37.53       45.24        None
flatcc.yml                      unknown                         19.99       24.89        None
frr.yml                         unknown                         35.59       43.53        None
frrFixed.yml                    unknown                         38.23       45.80        None
gpac_1.yml                      TIMEOUT                        120.93      134.52        None
gpac_10.yml                     false(valid-deref)              22.00       24.58        None
gpac_11.yml                     TIMEOUT                        120.92      134.73        None
gpac_12.yml                     TIMEOUT                        120.93      135.14        None
gpac_13.yml                     TIMEOUT                        120.94      135.11        None
gpac_14.yml                     TIMEOUT                        120.93      134.05        None
gpac_16.yml                     false(valid-deref)              33.94       37.70        None
gpac_16Fixed.yml                TIMEOUT                        120.90      136.93        None
gpac_16Found.yml                TIMEOUT                        120.94      135.47        None
gpac_17.yml                     TIMEOUT                        120.93      135.72        None
gpac_18.yml                     false(valid-deref)              21.26       24.72        None
gpac_19.yml                     TIMEOUT                        120.93      134.37        None
gpac_1Fixed.yml                 TIMEOUT                        120.94      133.83        None
gpac_3.yml                      TIMEOUT                        120.93      134.02        None
gpac_5.yml                      false(valid-deref)               6.76        7.65        None
gpac_5Fixed.yml                 true                             7.02        8.08        None
gpac_6.yml                      TIMEOUT                        120.96      134.45        None
gpac_7.yml                      true                            10.61       11.92        None
gpac_8.yml                      TIMEOUT                        120.93      134.57        None
gpac_9.yml                      unknown                         87.75       99.51        None
gps-sdr-sim.yml                 unknown                         13.99       16.47        None
gss-ntlmssp.yml                 TIMEOUT                        120.95      133.59        None
gss-ntlmsspFixed.yml            TIMEOUT                        120.94      133.63        None
hyperkit_1.yml                  TIMEOUT                        120.95      133.93        None
hyperkit_1Fixed.yml             TIMEOUT                        120.92      134.73        None
jhead.yml                       TIMEOUT                        120.93      134.68        None
jhead_1.yml                     TIMEOUT                        120.91      135.22        None
jq.yml                          TIMEOUT                        120.92      137.15        None
json-c.yml                      TIMEOUT                        120.90      135.54        None
json-parser.yml                 TIMEOUT                        120.93      133.87        None
json-parserFixed.yml            TIMEOUT                        120.93      133.61        None
kilo.yml                        unknown                         15.32       17.88        None
krb5.yml                        TIMEOUT                        120.93      133.62        None
krb5Fixed.yml                   TIMEOUT                        120.95      133.69        None
libeconf.yml                    unknown                         13.00       15.21        None
liblouis.yml                    unknown                         48.95       57.54        None
libming_1.yml                   TIMEOUT                        120.94      134.44        None
libpe.yml                       TIMEOUT                        120.94      133.52        None
libredwg.yml                    TIMEOUT                        120.94      133.32        None
libredwg_1.yml                  TIMEOUT                        120.94      133.83        None
libredwg_1Fixed.yml             TIMEOUT                        120.96      133.54        None
memcached.yml                   TIMEOUT                        120.93      134.10        None
minizip-ng.yml                  false(valid-deref)              44.99       50.74        None
minizip-ngFixed.yml             TIMEOUT                        120.92      135.48        None
minizip-ng_1.yml                unknown                         21.57       25.77        None
minizip-ng_1Fixed.yml           unknown                         21.02       25.27        None
mongoose.yml                    false(valid-deref)              12.42       14.25        None
mongooseFixed.yml               true                            16.41       18.77        None
mongoose_1.yml                  true                             7.78        8.92        None
moonlight-common-c.yml          TIMEOUT                        120.91      137.20        None
nanopb.yml                      false(valid-deref)              61.39       68.96        None
netatalk.yml                    unknown                         62.43       73.56        None
netatalkFixed.yml               TIMEOUT                        120.91      137.30        None
netconsd.yml                    ERROR (7)                       12.06       13.52        None
openNDS_1.yml                   TIMEOUT                        120.93      133.92        None
openNDS_1Fixed.yml              TIMEOUT                        120.97      133.95        None
openSC.yml                      TIMEOUT                        120.90      133.85        None
openSCFixed.yml                 TIMEOUT                        120.94      133.82        None
openrazer.yml                   TIMEOUT                        120.93      134.09        None
openrazerFixed.yml              TIMEOUT                        120.93      134.08        None
openrazerFound.yml              TIMEOUT                        120.93      134.19        None
pacparser.yml                   unknown                         79.87       92.02        None
pacparserFixed.yml              unknown                         83.37       96.36        None
picotcp.yml                     unknown                         15.72       18.63        None
picotcpFixed.yml                unknown                         16.24       19.10        None
pjproject.yml                   true                            22.78       25.85        None
plutovg.yml                     false(valid-deref)               9.98       11.21        None
ppp.yml                         TIMEOUT                        120.92      134.29        None
radare2.yml                     TIMEOUT                        120.89      139.16        None
radare2Fixed.yml                TIMEOUT                        120.82      139.73        None
radare2_1.yml                   unknown                         25.31       30.47        None
radare2_1Fixed.yml              unknown                         26.18       31.02        None
radare2_2.yml                   TIMEOUT                        121.03      136.01        None
radare2_2Fixed.yml              TIMEOUT                        120.94      135.32        None
rizin.yml                       false(valid-deref)              11.09       12.68        None
smartdns.yml                    TIMEOUT                        121.03      137.40        None
sniproxy.yml                    unknown                         28.17       34.10        None
sniproxyFixed.yml               true                            16.08       18.20        None
sofia-sip.yml                   false(valid-deref)              11.17       13.02        None
sofia-sipFixed.yml              unknown                         24.58       29.73        None
sofia-sip_1.yml                 false(valid-deref)              15.07       17.03        None
sofia-sip_2.yml                 false(valid-deref)              64.04       71.39        None
stb.yml                         TIMEOUT                        121.02      134.12        None
stb_1.yml                       unknown                         28.03       33.02        None
tinydir.yml                     unknown                         57.91       68.22        None
tinytiff.yml                    true                            63.83       70.82        None
wasm-micro-runtime.yml          false(valid-deref)               9.82       11.19        None
wasm-micro-runtimeFixed.yml     true                            12.08       14.42        None
zchunk.yml                      TIMEOUT                        120.94      133.44        None
zchunkFixed.yml                 TIMEOUT                        121.00      134.27        None
zephyr.yml                      TIMEOUT                        120.98      134.00        None
zstd.yml                        unknown                         71.66       81.84        None
zstdFixed.yml                   unknown                         65.55       75.31        None
---------------------------------------------------------------------------------------------
Run set 1                       done                          1833.40      678.65           -


no-overflow.no-overflow
Run set 2 of 2 with options '--full-output' and propertyfile 'None'

inputfile               status                       cpu time   wall time        host
-------------------------------------------------------------------------------------
gpac.yml                false(no-overflow)              10.66       12.76        None
gpac_15.yml             false(no-overflow)               5.05        5.86        None
kilo.yml                unknown                         10.03       11.88        None
libsndfile.yml          false(no-overflow)              11.88       14.52        None
mujs.yml                TIMEOUT                        120.21      133.93        None
plutovg.yml             false(no-overflow)               5.30        6.20        None
-------------------------------------------------------------------------------------
Run set 2               done                            42.99      134.67           -

Statistics:            116 Files
  correct:              21
    correct true:        4
    correct false:      17
  incorrect:             5
    incorrect true:      5
    incorrect false:     0
  unknown:              90
  Score:              -135 (max: 146)
