   BENCHMARK INFORMATION
benchmark definition:    /mnt/a/master/master/sv-comp_tools/uautomizer.xml
name:                    uautomizer
run sets:                valid-memsafety.valid-memsafety, no-overflow.no-overflow
date:                    Mon, 2025-04-21 15:15:53 EEST
tool:                    ULTIMATE Automizer 0.3.0-d790fecc
tool executable:         /usr/svcomp/tools/UAutomizer-linux/Ultimate.py
options:                 --full-output
parallel runs:           16
resource limits:
- memory:                4000.0 MB
- time:                  120 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                4000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    raltvein
os:                      Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.35
cpu:                     AMD Ryzen 9 7900X 12-Core Processor
- cores:                 16
- max frequency:         4691.108 MHz
ram:                     8330.231808 MB
------------------------------------------------------------



valid-memsafety.valid-memsafety
Run set 1 of 2 with options '--full-output' and propertyfile 'None'

inputfile                       status                       cpu time   wall time        host
---------------------------------------------------------------------------------------------
MicroHttpServer.yml             TIMEOUT                        120.94      133.60        None
MojoJson.yml                    TIMEOUT                        120.94      133.70        None
NTSC-CRT.yml                    true                            14.42       17.47        None
NanoNNG.yml                     TIMEOUT                        120.93      134.10        None
NanoNNGFixed.yml                TIMEOUT                        120.94      133.49        None
admesh.yml                      TIMEOUT                        120.93      133.92        None
admeshFixed.yml                 TIMEOUT                        120.95      133.86        None
asterisk.yml                    unknown                         56.42       63.62        None
bzip3.yml                       TIMEOUT                        120.86      136.07        None
bzip3Fixed.yml                  TIMEOUT                        120.91      136.23        None
cups.yml                        unknown                         99.14      113.18        None
dlt-daemon.yml                  unknown                         19.24       23.11        None
editorconfig-core-c.yml         unknown                         40.00       47.42        None
editorconfig-core-cFixed.yml    unknown                         41.17       49.13        None
flatcc.yml                      unknown                         20.50       24.69        None
frr.yml                         TIMEOUT                        120.93      135.86        None
frrFixed.yml                    unknown                         69.73       80.34        None
