   BENCHMARK INFORMATION
benchmark definition:    /mnt/a/master/master/sv-comp_tools/ukojak.xml
name:                    ukojak
run sets:                valid-memsafety.valid-memsafety, no-overflow.no-overflow
date:                    Fri, 2025-04-04 09:29:57 EEST
tool:                    ULTIMATE Kojak 0.3.0-d790fecc
tool executable:         /usr/svcomp/tools/UAutomizer-linux/Ultimate.py
options:                 --full-output
parallel runs:           16
resource limits:
- memory:                4000.0 MB
- time:                  120 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                4000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    raltvein
os:                      Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.35
cpu:                     AMD Ryzen 9 7900X 12-Core Processor
- cores:                 16
- max frequency:         4691.108 MHz
ram:                     8330.235904 MB
------------------------------------------------------------



valid-memsafety.valid-memsafety
Run set 1 of 2 with options '--full-output' and propertyfile 'None'

inputfile                       status                       cpu time   wall time        host
---------------------------------------------------------------------------------------------
MicroHttpServer.yml             TIMEOUT                        120.93      133.72        None
MojoJson.yml                    TIMEOUT                        120.86      134.22        None
NTSC-CRT.yml                    true                            13.72       16.63        None
NanoNNG.yml                     TIMEOUT                        120.92      134.02        None
NanoNNGFixed.yml                TIMEOUT                        120.94      133.85        None
admesh.yml                      TIMEOUT                        120.93      133.97        None
admeshFixed.yml                 TIMEOUT                        120.93      134.07        None
asterisk.yml                    unknown                         18.93       21.78        None
bzip3.yml                       unknown                         30.54       36.64        None
bzip3Fixed.yml                  unknown                         81.11       92.32        None
cups.yml                        unknown                        106.25      120.99        None
dlt-daemon.yml                  unknown                         21.92       26.33        None
editorconfig-core-c.yml         unknown                         51.86       62.21        None
editorconfig-core-cFixed.yml    unknown                         35.89       44.29        None
flatcc.yml                      unknown                         21.06       25.44        None
frr.yml                         TIMEOUT                        120.93      134.35        None
frrFixed.yml                    TIMEOUT                        120.94      133.83        None
gpac_1.yml                      TIMEOUT                        120.94      133.96        None
gpac_10.yml                     false(valid-deref)              11.22       12.76        None
gpac_11.yml                     TIMEOUT                        120.94      133.63        None
gpac_12.yml                     TIMEOUT                        120.93      134.03        None
gpac_13.yml                     TIMEOUT                        120.93      133.68        None
gpac_14.yml                     TIMEOUT                        120.94      133.33        None
gpac_16.yml                     unknown                         56.49       66.18        None
gpac_16Fixed.yml                unknown                         59.00       69.50        None
gpac_17.yml                     TIMEOUT                        120.93      134.45        None
