   BENCHMARK INFORMATION
benchmark definition:    /mnt/a/master/master/sv-comp_tools/ukojak.xml
name:                    ukojak
run sets:                valid-memsafety.valid-memsafety, no-overflow.no-overflow
date:                    Sat, 2025-04-05 10:43:59 EEST
tool:                    ULTIMATE Kojak 0.3.0-d790fecc
tool executable:         /usr/svcomp/tools/UAutomizer-linux/Ultimate.py
options:                 --full-output
parallel runs:           16
resource limits:
- memory:                4000.0 MB
- time:                  120 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                4000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    raltvein
os:                      Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.35
cpu:                     AMD Ryzen 9 7900X 12-Core Processor
- cores:                 16
- max frequency:         4691.095 MHz
ram:                     8330.235904 MB
------------------------------------------------------------



valid-memsafety.valid-memsafety
Run set 1 of 2 with options '--full-output' and propertyfile 'None'

inputfile                       status                       cpu time   wall time        host
---------------------------------------------------------------------------------------------
MicroHttpServer.yml             TIMEOUT                        120.97      136.30        None
MojoJson.yml                    TIMEOUT                        120.91      135.27        None
NTSC-CRT.yml                    true                            14.75       17.74        None
NanoNNG.yml                     TIMEOUT                        120.63      135.77        None
NanoNNGFixed.yml                TIMEOUT                        120.96      134.67        None
admesh.yml                      TIMEOUT                        120.87      134.78        None
admeshFixed.yml                 TIMEOUT                        120.99      134.21        None
asterisk.yml                    unknown                         19.45       22.27        None
bzip3.yml                       TIMEOUT                        121.00      137.22        None
bzip3Fixed.yml                  TIMEOUT                        120.91      136.73        None
cups.yml                        unknown                        100.27      113.73        None
dlt-daemon.yml                  unknown                         19.10       21.79        None
editorconfig-core-c.yml         unknown                         38.93       46.55        None
editorconfig-core-cFixed.yml    unknown                         38.14       46.14        None
flatcc.yml                      unknown                         20.78       25.27        None
frr.yml                         TIMEOUT                        120.98      134.84        None
frrFixed.yml                    TIMEOUT                        121.06      135.85        None
gpac_1.yml                      TIMEOUT                        121.06      135.18        None
gpac_10.yml                     false(valid-deref)              12.15       13.73        None
