   BENCHMARK INFORMATION
benchmark definition:    /mnt/a/master/master/sv-comp_tools/ukojak.xml
name:                    ukojak
run sets:                valid-memsafety.valid-memsafety, no-overflow.no-overflow
date:                    Sun, 2025-04-13 10:48:29 EEST
tool:                    ULTIMATE Kojak 0.3.0-d790fecc
tool executable:         /usr/svcomp/tools/UAutomizer-linux/Ultimate.py
options:                 --full-output
parallel runs:           16
resource limits:
- memory:                4000.0 MB
- time:                  120 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                4000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    raltvein
os:                      Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.35
cpu:                     AMD Ryzen 9 7900X 12-Core Processor
- cores:                 16
- max frequency:         4691.081 MHz
ram:                     8330.231808 MB
------------------------------------------------------------



valid-memsafety.valid-memsafety
Run set 1 of 2 with options '--full-output' and propertyfile 'None'

inputfile                       status                       cpu time   wall time        host
---------------------------------------------------------------------------------------------
MicroHttpServer.yml             TIMEOUT                        120.68      130.76        None
MojoJson.yml                    TIMEOUT                        120.62      128.91        None
NTSC-CRT.yml                    true                            15.46       17.73        None
NanoNNG.yml                     TIMEOUT                        120.77      129.42        None
NanoNNGFixed.yml                TIMEOUT                        120.81      127.96        None
admesh.yml                      TIMEOUT                        120.87      126.63        None
admeshFixed.yml                 TIMEOUT                        120.96      126.32        None
asterisk.yml                    unknown                         21.26       22.92        None
bzip3.yml                       TIMEOUT                        120.74      130.65        None
bzip3Fixed.yml                  TIMEOUT                        121.01      129.84        None
cups.yml                        unknown                         93.27      103.41        None
dlt-daemon.yml                  unknown                         21.29       23.79        None
editorconfig-core-c.yml         unknown                         39.57       44.98        None
editorconfig-core-cFixed.yml    unknown                         40.86       46.05        None
flatcc.yml                      unknown                         21.59       24.58        None
frr.yml                         unknown                         39.62       44.59        None
frrFixed.yml                    unknown                         43.40       49.11        None
gpac_1.yml                      TIMEOUT                        120.87      126.97        None
gpac_10.yml                     false(valid-deref)              26.32       27.52        None
gpac_11.yml                     TIMEOUT                        120.88      127.54        None
gpac_12.yml                     TIMEOUT                        120.89      126.21        None
