   BENCHMARK INFORMATION
benchmark definition:    /mnt/a/master/master/sv-comp_tools/ukojak.xml
name:                    ukojak
run sets:                valid-memsafety.valid-memsafety, no-overflow.no-overflow
date:                    Mon, 2025-04-21 15:53:07 EEST
tool:                    ULTIMATE Kojak 0.3.0-d790fecc
tool executable:         /usr/svcomp/tools/UAutomizer-linux/Ultimate.py
options:                 --full-output
parallel runs:           16
resource limits:
- memory:                4000.0 MB
- time:                  120 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                4000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    raltvein
os:                      Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.35
cpu:                     AMD Ryzen 9 7900X 12-Core Processor
- cores:                 16
- max frequency:         4691.108 MHz
ram:                     8330.231808 MB
------------------------------------------------------------



valid-memsafety.valid-memsafety
Run set 1 of 2 with options '--full-output' and propertyfile 'None'

inputfile                       status                       cpu time   wall time        host
---------------------------------------------------------------------------------------------
MicroHttpServer.yml             TIMEOUT                        120.93      135.44        None
MojoJson.yml                    TIMEOUT                        120.93      133.93        None
NTSC-CRT.yml                    true                            13.90       16.99        None
NanoNNG.yml                     TIMEOUT                        120.95      133.73        None
NanoNNGFixed.yml                TIMEOUT                        120.96      133.53        None
admesh.yml                      TIMEOUT                        120.93      133.90        None
admeshFixed.yml                 TIMEOUT                        120.95      133.75        None
asterisk.yml                    unknown                         55.89       63.17        None
bzip3.yml                       TIMEOUT                        120.85      135.97        None
bzip3Fixed.yml                  TIMEOUT                        120.92      136.82        None
cups.yml                        unknown                         94.94      108.66        None
dlt-daemon.yml                  unknown                         19.16       22.87        None
editorconfig-core-c.yml         unknown                         57.08       66.60        None
editorconfig-core-cFixed.yml    unknown                         46.02       55.00        None
flatcc.yml                      unknown                         21.14       25.52        None
frr.yml                         TIMEOUT                        120.92      135.86        None
frrFixed.yml                    unknown                         72.65       83.51        None
gpac_1.yml                      TIMEOUT                        120.95      133.21        None
gpac_10.yml                     false(valid-deref)              13.05       14.64        None
gpac_11.yml                     TIMEOUT                        120.95      133.66        None
gpac_12.yml                     TIMEOUT                        120.95      133.57        None
gpac_13.yml                     TIMEOUT                        120.95      133.35        None
gpac_14.yml                     TIMEOUT                        120.92      134.95        None
gpac_16.yml                     false(valid-deref)              39.37       43.78        None
gpac_16Fixed.yml                TIMEOUT                        120.94      134.31        None
gpac_16Found.yml                false(valid-deref)             109.66      122.16        None
gpac_17.yml                     TIMEOUT                        120.94      134.08        None
gpac_18.yml                     false(valid-deref)              21.43       24.15        None
gpac_19.yml                     unknown                         11.29       12.73        None
gpac_1Fixed.yml                 TIMEOUT                        120.95      133.46        None
gpac_3.yml                      TIMEOUT                        120.94      133.86        None
gpac_5.yml                      false(valid-deref)               6.56        7.38        None
gpac_5Fixed.yml                 true                             7.59        8.48        None
gpac_6.yml                      TIMEOUT                        120.95      134.42        None
gpac_7.yml                      true                            11.90       13.41        None
gpac_8.yml                      TIMEOUT                        120.95      133.95        None
gpac_9.yml                      unknown                        116.19      130.73        None
gps-sdr-sim.yml                 unknown                         19.25       22.77        None
gss-ntlmssp.yml                 TIMEOUT                        120.94      133.82        None
gss-ntlmsspFixed.yml            TIMEOUT                        120.93      133.84        None
hyperkit_1.yml                  TIMEOUT                        120.94      133.93        None
hyperkit_1Fixed.yml             TIMEOUT                        120.93      134.83        None
jhead.yml                       TIMEOUT                        120.94      134.65        None
jhead_1.yml                     TIMEOUT                        120.93      135.35        None
jq.yml                          TIMEOUT                        120.92      136.99        None
json-c.yml                      TIMEOUT                        120.79      134.92        None
json-parser.yml                 TIMEOUT                        120.94      133.91        None
json-parserFixed.yml            TIMEOUT                        120.94      133.86        None
krb5.yml                        TIMEOUT                        120.95      133.48        None
krb5Fixed.yml                   TIMEOUT                        120.93      133.65        None
libeconf.yml                    unknown                         19.17       22.31        None
liblouis.yml                    unknown                         46.42       54.77        None
libming_1.yml                   TIMEOUT                        120.95      134.08        None
libpe.yml                       TIMEOUT                        120.93      133.79        None
libredwg.yml                    TIMEOUT                        120.95      133.11        None
libredwg_1.yml                  TIMEOUT                        120.94      133.93        None
libredwg_1Fixed.yml             TIMEOUT                        120.94      134.08        None
memcached.yml                   TIMEOUT                        120.93      133.75        None
minizip-ng.yml                  TIMEOUT                        120.94      134.36        None
minizip-ngFixed.yml             TIMEOUT                        120.94      135.62        None
minizip-ng_1.yml                unknown                         23.29       27.52        None
minizip-ng_1Fixed.yml           unknown                         23.07       27.13        None
mongoose.yml                    false(valid-deref)              12.86       14.51        None
mongooseFixed.yml               true                            16.55       18.66        None
mongoose_1.yml                  true                             8.52        9.49        None
moonlight-common-c.yml          TIMEOUT                        120.58      137.39        None
nanopb.yml                      false(valid-deref)              59.89       67.24        None
netatalk.yml                    unknown                         61.77       72.61        None
netatalkFixed.yml               TIMEOUT                        120.92      137.14        None
netconsd.yml                    ERROR (7)                       11.03       12.39        None
openNDS_1.yml                   TIMEOUT                        120.94      133.93        None
openNDS_1Fixed.yml              TIMEOUT                        120.94      133.88        None
openSC.yml                      TIMEOUT                        120.94      133.21        None
openSCFixed.yml                 TIMEOUT                        120.93      133.57        None
openrazer.yml                   TIMEOUT                        120.93      133.94        None
openrazerFixed.yml              TIMEOUT                        120.94      133.87        None
openrazerFound.yml              TIMEOUT                        120.95      134.21        None
pacparser.yml                   unknown                         75.34       87.17        None
pacparserFixed.yml              unknown                         77.67       90.05        None
picotcp.yml                     unknown                         27.47       33.47        None
picotcpFixed.yml                unknown                         27.36       33.07        None
pjproject.yml                   true                            24.41       27.46        None
ppp.yml                         TIMEOUT                        120.94      133.84        None
radare2Fixed.yml                TIMEOUT                        120.91      137.49        None
radare2_1.yml                   unknown                         27.05       31.95        None
radare2_1Fixed.yml              unknown                         26.93       32.57        None
radare2_2.yml                   TIMEOUT                        120.90      134.86        None
radare2_2Fixed.yml              TIMEOUT                        120.88      134.90        None
rizin.yml                       false(valid-deref)              11.49       12.97        None
smartdns.yml                    TIMEOUT                        120.69      136.46        None
sniproxy.yml                    unknown                         31.02       37.14        None
sniproxyFixed.yml               true                            13.03       14.78        None
sofia-sip.yml                   false(valid-deref)              11.01       12.52        None
sofia-sipFixed.yml              unknown                         25.30       30.55        None
sofia-sip_1.yml                 false(valid-deref)              15.73       17.81        None
sofia-sip_2.yml                 false(valid-deref)              78.28       86.92        None
stb.yml                         TIMEOUT                        120.04      132.95        None
stb_1.yml                       unknown                         79.36       90.78        None
tinydir.yml                     unknown                         65.38       76.73        None
tinytiff.yml                    TIMEOUT                        120.10      132.60        None
wasm-micro-runtime.yml          false(valid-deref)              10.83       12.19        None
wasm-micro-runtimeFixed.yml     true                            13.49       15.36        None
zchunk.yml                      TIMEOUT                        120.08      133.05        None
zchunkFixed.yml                 TIMEOUT                        120.12      132.60        None
zephyr.yml                      TIMEOUT                        120.07      132.69        None
zstd.yml                        unknown                         73.74       84.15        None
zstdFixed.yml                   unknown                         71.76       81.86        None
---------------------------------------------------------------------------------------------
Run set 1                       done                          2018.90      681.79           -


no-overflow.no-overflow
Run set 2 of 2 with options '--full-output' and propertyfile 'None'

inputfile               status                       cpu time   wall time        host
-------------------------------------------------------------------------------------
gpac.yml                false(no-overflow)              10.94       13.11        None
gpac_15.yml             false(no-overflow)               5.24        6.11        None
kilo.yml                false(no-overflow)               5.57        6.28        None
libsndfile.yml          false(no-overflow)              12.45       14.89        None
mujs.yml                TIMEOUT                        120.94      134.96        None
plutovg.yml             false(no-overflow)               5.41        6.47        None
-------------------------------------------------------------------------------------
Run set 2               done                            39.65      135.69           -

Statistics:            113 Files
  correct:              21
    correct true:        4
    correct false:      17
  incorrect:             4
    incorrect true:      4
    incorrect false:     0
  unknown:              88
  Score:              -103 (max: 143)
