   BENCHMARK INFORMATION
benchmark definition:    /mnt/a/master/master/sv-comp_tools/utaipan.xml
name:                    utaipan
run sets:                valid-memsafety.valid-memsafety, no-overflow.no-overflow
date:                    Fri, 2025-04-04 09:14:39 EEST
tool:                    ULTIMATE Taipan 0.3.0-d790fecc
tool executable:         /usr/svcomp/tools/UAutomizer-linux/Ultimate.py
options:                 --full-output
parallel runs:           16
resource limits:
- memory:                4000.0 MB
- time:                  120 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                4000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    raltvein
os:                      Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.35
cpu:                     AMD Ryzen 9 7900X 12-Core Processor
- cores:                 16
- max frequency:         4691.108 MHz
ram:                     8330.235904 MB
------------------------------------------------------------



valid-memsafety.valid-memsafety
Run set 1 of 2 with options '--full-output' and propertyfile 'None'

inputfile                       status                       cpu time   wall time        host
---------------------------------------------------------------------------------------------
MicroHttpServer.yml             TIMEOUT                        120.74      134.14        None
MojoJson.yml                    TIMEOUT                        120.92      134.55        None
NTSC-CRT.yml                    true                            14.12       17.19        None
NanoNNG.yml                     TIMEOUT                        120.93      134.16        None
NanoNNGFixed.yml                TIMEOUT                        120.95      133.75        None
admesh.yml                      TIMEOUT                        120.93      133.74        None
admeshFixed.yml                 TIMEOUT                        120.93      133.96        None
asterisk.yml                    unknown                         19.00       22.16        None
bzip3.yml                       unknown                         29.44       35.11        None
bzip3Fixed.yml                  unknown                         76.59       87.12        None
cups.yml                        unknown                        108.14      122.57        None
dlt-daemon.yml                  unknown                         21.45       25.12        None
editorconfig-core-c.yml         unknown                         50.98       60.69        None
editorconfig-core-cFixed.yml    unknown                         51.46       61.15        None
flatcc.yml                      unknown                         19.95       24.60        None
frr.yml                         TIMEOUT                        120.93      134.65        None
frrFixed.yml                    TIMEOUT                        120.94      134.29        None
gpac_1.yml                      TIMEOUT                        120.94      133.88        None
gpac_10.yml                     false(valid-deref)              11.21       12.82        None
gpac_11.yml                     TIMEOUT                        120.92      133.82        None
gpac_12.yml                     TIMEOUT                        120.93      134.23        None
gpac_13.yml                     TIMEOUT                        120.93      133.73        None
gpac_14.yml                     TIMEOUT                        120.93      134.70        None
gpac_16.yml                     unknown                         54.78       64.58        None
gpac_16Fixed.yml                unknown                         54.65       65.13        None
gpac_17.yml                     TIMEOUT                        120.94      134.47        None
gpac_18.yml                     false(valid-deref)              19.42       22.09        None
gpac_19.yml                     unknown                         85.72       98.48        None
gpac_1Fixed.yml                 TIMEOUT                        121.00      135.65        None
gpac_3.yml                      TIMEOUT                        120.94      134.05        None
gpac_5.yml                      false(valid-deref)               6.34        7.28        None
gpac_5Fixed.yml                 true                             6.70        7.52        None
gpac_6.yml                      TIMEOUT                        120.94      133.55        None
gpac_7.yml                      true                            11.13       12.53        None
gpac_8.yml                      TIMEOUT                        120.93      134.51        None
gpac_9.yml                      unknown                        118.26      133.66        None
gps-sdr-sim.yml                 unknown                         15.10       18.02        None
gss-ntlmssp.yml                 TIMEOUT                        120.93      133.79        None
gss-ntlmsspFixed.yml            TIMEOUT                        120.93      134.05        None
hyperkit_1.yml                  TIMEOUT                        120.93      133.87        None
hyperkit_1Fixed.yml             TIMEOUT                        120.93      134.92        None
jhead.yml                       TIMEOUT                        120.85      140.28        None
jhead_1.yml                     TIMEOUT                        120.94      133.96        None
jq.yml                          TIMEOUT                        120.91      137.19        None
json-c.yml                      TIMEOUT                        120.89      135.58        None
json-parser.yml                 TIMEOUT                        120.92      135.20        None
json-parserFixed.yml            TIMEOUT                        120.93      134.71        None
kilo.yml                        unknown                         15.28       18.25        None
krb5.yml                        TIMEOUT                        120.94      133.14        None
krb5Fixed.yml                   TIMEOUT                        120.94      133.34        None
libeconf.yml                    unknown                         13.25       15.29        None
liblouis.yml                    unknown                         54.04       63.74        None
libming_1.yml                   ERROR (7)                       11.40       12.85        None
libpe.yml                       TIMEOUT                        120.91      133.84        None
libredwg.yml                    TIMEOUT                        120.94      133.18        None
libredwg_1.yml                  TIMEOUT                        120.93      134.26        None
libredwg_1Fixed.yml             unknown                         10.70       12.02        None
memcached.yml                   TIMEOUT                        120.95      134.27        None
minizip-ng.yml                  false(valid-deref)              43.51       49.32        None
minizip-ngFixed.yml             TIMEOUT                        120.91      134.12        None
minizip-ng_1.yml                unknown                         31.31       36.79        None
minizip-ng_1Fixed.yml           unknown                         31.22       36.37        None
mongoose.yml                    false(valid-deref)              11.77       13.42        None
mongooseFixed.yml               true                            15.00       17.01        None
mongoose_1.yml                  true                             7.89        8.96        None
moonlight-common-c.yml          unknown                         56.08       66.05        None
nanopb.yml                      TIMEOUT                        120.92      137.74        None
netatalk.yml                    unknown                         66.23       77.92        None
netatalkFixed.yml               TIMEOUT                        120.93      137.58        None
netconsd.yml                    ERROR (7)                       11.43       12.89        None
openNDS_1.yml                   TIMEOUT                        120.93      133.60        None
openNDS_1Fixed.yml              TIMEOUT                        120.95      133.81        None
openSC.yml                      TIMEOUT                        120.93      136.51        None
openSCFixed.yml                 TIMEOUT                        120.89      136.96        None
openrazer.yml                   TIMEOUT                        120.94      134.00        None
openrazerFixed.yml              TIMEOUT                        120.93      134.11        None
pacparser.yml                   unknown                         81.55       94.44        None
pacparserFixed.yml              unknown                         80.71       93.67        None
picotcp.yml                     unknown                         14.98       17.52        None
picotcpFixed.yml                unknown                         15.25       17.86        None
pjproject.yml                   TIMEOUT                        120.03      132.24        None
plutovg.yml                     false(valid-deref)               9.81       11.09        None
ppp.yml                         false(valid-deref)             101.66      112.65        None
radare2.yml                     TIMEOUT                        120.90      138.56        None
radare2Fixed.yml                TIMEOUT                        120.93      138.12        None
radare2_1.yml                   unknown                         26.90       33.02        None
radare2_1Fixed.yml              unknown                         28.04       33.80        None
radare2_2.yml                   unknown                         62.11       73.08        None
radare2_2Fixed.yml              unknown                         62.59       73.41        None
rizin.yml                       false(valid-deref)              13.51       15.69        None
smartdns.yml                    TIMEOUT                        120.93      137.97        None
sniproxy.yml                    unknown                         28.99       35.33        None
sniproxyFixed.yml               true                            15.84       18.29        None
sofia-sip.yml                   false(valid-deref)              11.40       13.16        None
sofia-sipFixed.yml              unknown                         20.94       24.81        None
sofia-sip_1.yml                 unknown                         33.70       40.43        None
sofia-sip_2.yml                 false(valid-deref)              56.44       62.62        None
stb.yml                         TIMEOUT                        120.52      137.68        None
stb_1.yml                       unknown                         26.91       31.95        None
tinydir.yml                     unknown                         33.20       39.45        None
tinytiff.yml                    true                            75.75       84.03        None
wasm-micro-runtime.yml          false(valid-deref)              10.33       11.81        None
wasm-micro-runtimeFixed.yml     false(valid-deref)              11.44       13.02        None
zchunk.yml                      TIMEOUT                        120.96      135.62        None
zchunkFixed.yml                 TIMEOUT                        120.95      134.41        None
zephyr.yml                      TIMEOUT                        120.95      133.69        None
zstd.yml                        unknown                         59.70       69.54        None
zstdFixed.yml                   unknown                         57.58       66.98        None
---------------------------------------------------------------------------------------------
Run set 1                       done                          2687.60      654.83           -


no-overflow.no-overflow
Run set 2 of 2 with options '--full-output' and propertyfile 'None'

inputfile               status                       cpu time   wall time        host
-------------------------------------------------------------------------------------
NTSC-CRT.yml            true                             6.87        7.95        None
gpac.yml                false(no-overflow)              12.63       14.94        None
gpac_15.yml             false(no-overflow)               6.32        7.40        None
gpac_9.yml              true                             5.89        7.11        None
kilo.yml                unknown                         11.89       14.04        None
libredwg_1.yml          true                             7.89        9.49        None
libredwg_1Fixed.yml     unknown                          8.99       10.26        None
libsndfile.yml          false(no-overflow)              15.38       18.12        None
mujs.yml                TIMEOUT                        121.04      134.91        None
nanopb.yml              true                             7.93        9.40        None
netconsd.yml            TIMEOUT                        121.03      134.20        None
plutovg.yml             false(no-overflow)               6.63        7.64        None
stb.yml                 unknown                         43.79       50.92        None
sysstat.yml             true                             5.46        6.41        None
zchunk.yml              true                             7.72        9.64        None
zchunkFixed.yml         true                             7.67        9.38        None
-------------------------------------------------------------------------------------
Run set 2               done                           155.10      135.70           -

Statistics:            124 Files
  correct:              14
    correct true:        3
    correct false:      11
  incorrect:            12
    incorrect true:     11
    incorrect false:     1
  unknown:              98
  Score:              -351 (max: 155)
