   BENCHMARK INFORMATION
benchmark definition:    /mnt/a/master/master/sv-comp_tools/utaipan.xml
name:                    utaipan
run sets:                valid-memsafety.valid-memsafety, no-overflow.no-overflow
date:                    Tue, 2025-04-15 06:18:43 EEST
tool:                    ULTIMATE Taipan 0.3.0-d790fecc
tool executable:         /usr/svcomp/tools/UAutomizer-linux/Ultimate.py
options:                 --full-output
parallel runs:           16
resource limits:
- memory:                4000.0 MB
- time:                  120 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                4000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    raltvein
os:                      Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.35
cpu:                     AMD Ryzen 9 7900X 12-Core Processor
- cores:                 16
- max frequency:         4691.105 MHz
ram:                     8330.231808 MB
------------------------------------------------------------



valid-memsafety.valid-memsafety
Run set 1 of 2 with options '--full-output' and propertyfile 'None'

inputfile                       status                       cpu time   wall time        host
---------------------------------------------------------------------------------------------
MicroHttpServer.yml             TIMEOUT                        120.92      135.04        None
MojoJson.yml                    TIMEOUT                        120.93      133.64        None
NTSC-CRT.yml                    true                            14.01       17.16        None
NanoNNG.yml                     TIMEOUT                        120.95      133.81        None
NanoNNGFixed.yml                TIMEOUT                        120.94      133.79        None
admesh.yml                      TIMEOUT                        120.92      133.94        None
admeshFixed.yml                 TIMEOUT                        120.93      133.81        None
asterisk.yml                    unknown                         19.12       22.57        None
bzip3.yml                       TIMEOUT                        120.84      136.46        None
bzip3Fixed.yml                  TIMEOUT                        120.91      137.24        None
cups.yml                        unknown                         69.83       81.02        None
dlt-daemon.yml                  unknown                         19.47       23.46        None
editorconfig-core-c.yml         unknown                         35.92       43.47        None
editorconfig-core-cFixed.yml    unknown                         50.47       59.55        None
flatcc.yml                      unknown                         19.54       23.87        None
frr.yml                         unknown                         36.09       43.78        None
frrFixed.yml                    unknown                         38.00       46.15        None
gpac_1.yml                      TIMEOUT                        120.93      133.22        None
gpac_10.yml                     false(valid-deref)              22.26       24.91        None
gpac_11.yml                     TIMEOUT                        120.94      133.55        None
gpac_12.yml                     TIMEOUT                        120.93      133.91        None
gpac_13.yml                     TIMEOUT                        120.94      133.67        None
gpac_14.yml                     TIMEOUT                        120.92      134.69        None
gpac_16.yml                     false(valid-deref)              33.17       37.20        None
gpac_16Fixed.yml                TIMEOUT                        120.93      134.66        None
gpac_16Found.yml                TIMEOUT                        120.93      134.51        None
gpac_17.yml                     TIMEOUT                        120.92      134.20        None
gpac_18.yml                     false(valid-deref)              19.67       22.74        None
gpac_19.yml                     TIMEOUT                        120.92      134.20        None
gpac_1Fixed.yml                 TIMEOUT                        120.94      133.94        None
gpac_3.yml                      TIMEOUT                        120.93      133.59        None
gpac_5.yml                      false(valid-deref)               6.71        7.52        None
gpac_5Fixed.yml                 true                             6.83        7.73        None
gpac_6.yml                      TIMEOUT                        120.94      134.90        None
gpac_7.yml                      true                            10.62       12.32        None
gpac_8.yml                      TIMEOUT                        120.93      134.55        None
gpac_9.yml                      unknown                         67.94       77.67        None
gps-sdr-sim.yml                 unknown                         14.08       16.62        None
gss-ntlmssp.yml                 TIMEOUT                        120.94      133.41        None
gss-ntlmsspFixed.yml            TIMEOUT                        120.94      133.44        None
hyperkit_1.yml                  TIMEOUT                        120.93      134.19        None
hyperkit_1Fixed.yml             TIMEOUT                        120.91      135.29        None
jhead.yml                       TIMEOUT                        120.75      134.52        None
jhead_1.yml                     TIMEOUT                        120.90      135.53        None
jq.yml                          TIMEOUT                        120.91      137.58        None
json-c.yml                      TIMEOUT                        120.94      135.26        None
json-parser.yml                 TIMEOUT                        120.93      133.95        None
json-parserFixed.yml            TIMEOUT                        120.94      133.81        None
kilo.yml                        unknown                         14.65       17.14        None
krb5.yml                        TIMEOUT                        120.95      133.46        None
krb5Fixed.yml                   TIMEOUT                        120.93      133.52        None
libeconf.yml                    unknown                         12.88       14.90        None
liblouis.yml                    unknown                         47.03       55.50        None
libming_1.yml                   TIMEOUT                        120.94      134.71        None
libpe.yml                       TIMEOUT                        120.93      133.87        None
libredwg.yml                    TIMEOUT                        120.94      133.47        None
libredwg_1.yml                  TIMEOUT                        120.95      133.62        None
