   BENCHMARK INFORMATION
benchmark definition:    /mnt/a/master/master/sv-comp_tools/utaipan.xml
name:                    utaipan
run sets:                valid-memsafety.valid-memsafety, no-overflow.no-overflow
date:                    Mon, 2025-04-21 15:37:23 EEST
tool:                    ULTIMATE Taipan 0.3.0-d790fecc
tool executable:         /usr/svcomp/tools/UAutomizer-linux/Ultimate.py
options:                 --full-output
parallel runs:           16
resource limits:
- memory:                4000.0 MB
- time:                  120 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                4000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    raltvein
os:                      Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.35
cpu:                     AMD Ryzen 9 7900X 12-Core Processor
- cores:                 16
- max frequency:         4691.108 MHz
ram:                     8330.231808 MB
------------------------------------------------------------



valid-memsafety.valid-memsafety
Run set 1 of 2 with options '--full-output' and propertyfile 'None'

inputfile                       status                       cpu time   wall time        host
---------------------------------------------------------------------------------------------
MicroHttpServer.yml             TIMEOUT                        120.93      133.90        None
MojoJson.yml                    TIMEOUT                        120.93      133.83        None
NTSC-CRT.yml                    true                            14.85       17.89        None
NanoNNG.yml                     TIMEOUT                        120.93      133.87        None
NanoNNGFixed.yml                TIMEOUT                        120.94      133.93        None
admesh.yml                      TIMEOUT                        120.94      133.79        None
admeshFixed.yml                 TIMEOUT                        120.94      133.77        None
asterisk.yml                    unknown                         56.99       64.28        None
bzip3.yml                       TIMEOUT                        120.85      136.33        None
bzip3Fixed.yml                  TIMEOUT                        120.86      136.48        None
cups.yml                        unknown                         98.24      112.22        None
dlt-daemon.yml                  unknown                         19.79       23.84        None
editorconfig-core-c.yml         unknown                         54.78       64.44        None
editorconfig-core-cFixed.yml    unknown                         49.72       59.19        None
flatcc.yml                      unknown                         20.65       25.06        None
frr.yml                         TIMEOUT                        120.92      135.72        None
frrFixed.yml                    unknown                         73.01       83.50        None
gpac_1.yml                      TIMEOUT                        120.94      133.27        None
gpac_10.yml                     false(valid-deref)              12.88       14.51        None
gpac_11.yml                     TIMEOUT                        120.94      133.82        None
gpac_12.yml                     TIMEOUT                        120.93      133.68        None
gpac_13.yml                     TIMEOUT                        120.94      133.71        None
gpac_14.yml                     TIMEOUT                        120.94      134.33        None
gpac_16.yml                     false(valid-deref)              38.74       43.28        None
gpac_16Fixed.yml                TIMEOUT                        120.94      134.56        None
gpac_16Found.yml                false(valid-deref)             113.47      126.32        None
gpac_17.yml                     TIMEOUT                        120.94      134.52        None
gpac_18.yml                     false(valid-deref)              21.16       24.21        None
gpac_19.yml                     unknown                         11.24       12.61        None
gpac_1Fixed.yml                 TIMEOUT                        120.95      133.47        None
gpac_3.yml                      TIMEOUT                        120.90      134.63        None
gpac_5.yml                      false(valid-deref)               6.63        7.51        None
gpac_5Fixed.yml                 true                             7.63        8.61        None
